well_id,region,production_barrels,operational_cost,downtime_hours
1942,South,1259,51971,37
1034,West,2298,70551,12
1205,North,3471,154273,25
1080,South,3926,128957,19
1931,North,754,109882,4
1561,West,4323,57958,19
1871,North,2376,25681,13
1387,West,3257,121982,44
1001,North,3124,66870,13
1389,West,4621,148396,7
1565,East,3504,87203,47
1105,North,4234,179224,12
1771,North,1744,70061,23
1821,East,1508,78235,14
1476,East,4814,57890,0
1702,North,2010,110073,21
1401,East,2459,81401,33
1729,South,3008,31217,39
1555,West,3182,68351,2
1161,West,1489,53741,25
1201,West,4784,171726,13
1957,South,754,21408,40
1995,East,4663,62903,7
1269,East,4952,127042,15
1862,North,755,152290,41
1815,East,1507,142189,20
1270,North,2255,129268,9
1455,South,3071,50105,24
1461,West,4408,89634,37
1726,West,3497,137426,21
1251,West,3303,158691,47
1701,East,4265,163011,46
1295,North,4879,38226,45
1724,North,3883,45322,3
1719,South,598,137504,3
1748,East,696,78215,29
1337,South,3029,167950,1
1878,North,1377,157632,28
1052,North,2368,189350,42
1791,West,3165,187284,35
1921,East,1888,114835,20
1216,North,2915,93079,20
1763,West,1069,43946,47
1187,East,3137,182812,20
1379,South,1565,130733,3
1492,East,921,27253,0
1040,East,3383,99311,25
1156,North,1704,52813,1
1014,North,1044,178704,8
1812,East,4666,68365,44
1064,North,4139,87593,17
1856,North,1723,184503,47
1838,North,3672,188508,47
1520,West,1267,169485,41
1343,West,4157,58485,40
1128,East,1154,131504,10
1647,North,2946,36101,24
1471,West,720,28831,25
1062,East,4166,71897,35
1138,North,4777,25004,41
1498,South,4902,65924,34
1592,North,3069,172581,37
1391,North,1513,57170,2
1674,West,2551,63555,40
1418,East,4485,165734,34
1288,East,4810,138115,39
1378,West,3519,124216,21
1772,North,4181,85930,7
1489,South,1943,198475,14
1230,North,4696,56365,44
1040,North,3510,82188,6
1027,South,1072,118633,18
1134,West,1832,177745,39
1200,East,4502,83471,41
1839,West,3634,168228,16
1779,West,4586,77287,0
1929,North,725,152717,44
1032,East,4700,79076,28
1047,East,2497,136475,12
1502,West,1271,70151,47
1406,South,933,87384,28
1573,West,3599,119865,40
1727,South,3229,53541,41
1804,East,3907,92847,5
1098,West,3640,70955,4
1683,North,1365,160362,33
1871,West,3293,181215,10
1725,East,3411,175581,8
1986,North,2915,107780,37
1546,North,750,187813,39
1960,South,4257,177970,40
1738,North,1418,119919,8
1612,North,1673,132854,7
1942,West,3703,81768,43
1461,East,932,63262,39
1642,South,1335,156578,2
1768,West,2746,40605,12
1004,North,2762,98590,18
1217,North,1397,48231,33
1502,South,4132,99397,31
1766,East,4315,97123,15
1397,South,746,33515,35
1870,West,2929,107211,17
1794,South,1490,189694,13
1392,North,3810,36600,29
1206,West,1426,178964,1
1014,North,3938,89310,12
1857,East,3107,172873,26
1553,North,1574,188767,16
1891,North,4522,179925,30
1460,South,4299,155501,14
1690,North,3651,155678,19
1574,West,3938,155550,4
1863,West,3991,134380,6
1742,East,1206,191206,17
1240,West,3564,131780,10
1563,South,1253,176547,31
1095,East,1087,86177,26
1899,West,1834,172802,25
1733,South,2347,172185,36
1484,West,4434,171083,44
1406,West,4426,75746,27
1230,North,3817,143075,1
1748,West,4520,193925,19
1654,West,3655,105195,3
1170,South,4802,56818,12
1540,South,2698,188393,23
1035,North,664,41309,47
1524,West,2498,169760,37
1159,North,3557,48176,39
1838,West,2584,88879,47
1698,East,4928,87592,44
1242,East,902,104728,28
1085,North,913,160488,35
1795,North,544,191066,1
1577,North,4657,28584,40
1681,South,2967,144555,17
1556,South,1367,113302,7
1573,South,518,142408,14
1952,North,864,38830,40
1645,West,4332,97066,16
1795,East,1079,23591,22
1027,North,1045,113878,1
1619,South,4650,145407,5
1555,South,3539,136869,28
1339,North,4637,41395,26
1797,North,4544,36738,36
1957,South,4826,153703,33
1330,West,952,168977,17
1639,South,4461,39056,41
1505,South,1881,141656,9
1347,North,1967,135316,37
1472,West,3238,186519,43
1230,South,1716,74418,16
1189,South,1380,57190,12
1224,East,4314,46014,47
1384,North,3649,145563,41
1376,East,584,21780,26
1282,East,4644,62192,1
1957,South,1668,124875,33
1632,North,4664,119129,30
1627,West,3629,63923,22
1972,South,4145,109196,6
1744,West,3026,22395,37
1258,West,3367,122449,32
1358,North,4016,141747,11
1709,East,3867,166851,44
1455,North,2694,91028,11
1410,West,4055,180794,18
1648,South,945,158183,8
1317,West,4126,161056,9
1676,South,4516,113176,16
1224,South,4375,46924,39
1818,North,3837,52577,38
1233,West,761,158783,40
1683,East,2348,105548,9
1663,West,4525,145093,11
1974,West,2766,155168,14
1826,East,591,86555,30
1373,North,4722,109848,14
1671,West,4675,28254,27
1607,West,3809,145410,3
1471,South,1482,157037,35
1232,West,3943,123025,0
1691,East,3033,150509,43
1112,South,1193,52963,33
1829,North,4620,23273,46
1496,South,655,35330,16
1441,East,4088,172566,38
1563,East,2312,96422,37
1267,South,4614,142089,43
1509,North,1907,23212,32
1806,South,1716,107594,20
1385,North,1910,152152,25
1386,South,3997,52675,45
1112,East,4872,42007,35
1612,West,1051,133805,4
1624,West,3894,102641,32
1951,North,1676,115815,0
1080,North,4832,66815,5
1698,North,1497,103482,36
1112,East,4576,20639,1
1001,South,3231,83593,4
1641,East,4437,98038,25
1219,West,4552,113899,40
1565,North,872,23736,46
1854,South,2748,36473,12
1996,West,1348,148771,11
1735,West,3056,145801,4
1224,West,2822,185091,1
1384,East,1003,127598,3
1402,North,3689,106623,26
1637,West,1202,56820,9
1129,North,4125,77589,12
1052,East,814,38414,43
1683,West,2876,147378,1
1729,East,1540,44220,25
1671,East,4878,80531,14
1709,North,3490,130002,45
1415,West,757,193497,9
1246,East,1074,29387,21
1835,West,2052,96815,39
1438,North,1257,47584,24
1202,East,3310,64783,14
1183,North,1604,190881,12
1122,West,3959,144494,7
1400,West,4492,135814,20
1766,North,703,150752,20
1293,South,3275,161929,21
1279,East,2832,193333,45
1836,West,2492,93588,32
1883,West,2743,168067,44
1609,East,806,33580,26
1197,North,2187,38240,39
1981,North,4609,103446,21
1906,North,2360,124533,29
1510,South,2461,197183,8
1751,South,1222,185938,44
1143,West,1279,100974,34
1608,North,1028,93401,17
1200,East,843,163283,41
1123,West,4286,184340,4
1186,East,4182,23646,26
1325,West,708,62816,5
1463,South,3906,109460,31
1348,West,1811,64112,7
1770,South,2799,71048,38
1659,West,3836,152850,20
1763,North,2447,65752,17
1954,East,1419,90726,13
1931,North,2544,178361,14
1402,West,918,64788,41
1345,West,2249,24747,25
1962,West,3342,20045,43
1510,South,1599,27758,31
1146,East,3892,145076,38
1147,East,3272,174509,27
1863,West,2980,170657,38
1710,West,2045,160926,42
1819,South,1570,76950,31
1488,North,2350,168421,12
1928,North,4698,172420,14
1935,East,3439,185368,17
1639,South,2403,39455,38
1550,West,1178,190365,5
1337,East,1488,108552,10
1871,South,2975,66116,31
1640,North,2107,140461,39
1778,South,3369,60484,19
1987,North,2002,181287,32
1952,South,2289,101638,39
1472,East,1925,154476,7
1945,North,2940,188332,34
1150,East,2542,120647,4
1414,East,1778,85642,34
1989,North,3094,66009,46
1297,North,2936,148824,13
1610,West,4303,49605,20
1262,West,2705,130879,46
1763,West,1527,188641,23
1143,East,4039,140827,16
1345,East,3983,25580,17
1623,West,2741,134902,33
1571,East,3265,25400,11
1880,East,1673,190715,15
1001,North,3730,116032,3
1896,North,3850,147319,24
1303,East,903,126960,33
1253,West,3225,59015,27
1651,South,3882,91713,45
1452,West,4663,166046,10
1036,South,587,165109,12
1159,West,1658,167239,30
1008,North,4773,108754,24
1232,East,3357,63148,38
1098,East,1881,172606,9
1658,North,2564,142790,23
1815,South,2874,106078,0
1207,South,817,76879,24
1130,South,2002,139894,27
1403,North,2542,85839,35
1151,South,2522,49756,17
1053,North,618,163755,5
1119,West,1209,162097,1
1672,West,4057,169787,2
1919,North,4640,112943,45
1627,East,4909,168188,7
1586,West,3750,56744,30
1624,South,917,144697,47
1967,North,3103,136072,18
1419,South,4354,153196,5
1421,South,1601,189123,13
1103,East,4921,27176,2
1851,South,3928,111310,47
1253,East,2761,169748,0
1226,West,4669,65177,43
1111,North,4134,130623,29
1509,South,1008,20997,45
1472,North,2879,194841,18
1098,South,3664,140179,18
1152,North,1187,140403,8
1860,South,1792,162303,6
1913,South,4405,115287,45
1895,South,3575,139574,36
1877,South,3709,141509,40
1337,South,824,105447,6
1705,South,2493,129522,8
1821,South,4476,101144,3
1162,South,3270,112693,24
1719,South,4872,114315,11
1956,North,3083,47387,5
1680,East,4057,24090,17
1995,South,4087,140846,39
1160,East,651,176017,20
1579,South,1454,60239,14
1800,South,4854,23743,2
1397,North,2871,50924,1
1276,West,1691,161268,40
1815,West,1187,150160,39
1915,North,809,111815,3
1503,East,2002,125312,31
1895,West,3627,88860,1
1391,North,3867,192472,45
1134,North,3895,100399,28
1194,West,1313,68795,1
1400,East,1345,71553,33
1639,North,1664,123976,26
1032,South,2267,175183,38
1687,East,854,133566,43
1459,East,2372,139968,37
1954,West,2524,81600,17
1882,West,3317,70022,35
1469,South,4332,154271,18
1374,North,4775,70897,26
1021,West,565,58038,44
1749,West,4766,143323,19
1669,East,4590,140278,20
1037,West,3021,131054,22
1229,West,3081,27897,29
1364,West,1890,84541,24
1562,West,1630,126968,30
1437,East,2986,34892,26
1775,South,1334,159343,33
1282,South,726,44815,7
1026,North,4015,65612,18
1225,West,2943,184429,40
1276,East,1227,36267,25
1797,North,4186,38268,27
1608,North,4122,134463,3
1283,South,1536,165335,30
1878,East,2332,115347,15
1959,East,3240,114542,9
1480,East,992,192343,37
1452,South,2048,86612,47
1828,South,1643,158307,9
1815,South,4457,108757,44
1658,South,3907,167489,8
1515,South,1139,118075,38
1546,West,672,54609,35
1191,West,4854,122785,35
1048,East,4459,184974,18
1511,North,1016,43645,18
1016,East,1022,82233,11
1171,North,2417,131443,12
1219,South,3386,174473,24
1157,North,2664,27771,35
1476,East,2429,192407,24
1045,East,4445,122601,27
1372,North,2709,153014,41
1517,West,4283,171460,38
1098,South,3090,145224,29
1891,South,4576,103251,4
1744,East,1593,77042,16
1036,West,4380,73740,17
1279,North,2994,67024,42
1348,South,3079,174522,46
1496,West,2988,76965,20
1301,South,3285,30057,21
1180,West,3258,28983,38
1606,West,2074,150469,5
1098,East,2873,39995,15
1699,South,4490,134587,1
1992,North,1593,58886,0
1115,East,1689,109025,29
1190,East,3189,115149,42
1252,North,4595,114020,36
1980,East,2375,22673,47
1927,West,3906,185962,22
1982,West,2287,97513,0
1160,South,4432,43466,18
1255,South,2107,112545,45
1322,North,4248,70406,2
1127,South,548,154760,1
1017,West,4361,89284,36
1792,North,2680,134579,16
1734,North,3546,33665,27
1565,South,3333,40641,17
1569,West,1897,183572,32
1322,North,4326,55797,14
1871,West,1331,65950,21
1685,West,3197,176118,40
1791,West,3235,149554,26
1625,South,581,122339,36
1287,East,586,133431,31
1942,East,2563,160710,44
1853,North,1321,41173,18
1662,West,662,164294,27
1961,South,4239,188082,27
1638,West,2897,38095,9
1154,West,2432,143554,19
1489,South,3228,152511,24
1385,East,4035,145614,20
1985,West,3946,156447,13
1784,West,3290,109023,21
1103,East,3207,127181,25
1928,South,4433,40600,43
1392,North,3885,22466,10
1810,East,1422,196169,6
1245,North,2675,129934,16
1175,North,2082,73276,17
1038,East,1064,198043,6
1476,West,3758,26928,19
1681,North,3097,75309,37
1758,North,3000,191960,10
1537,South,1487,194904,43
1866,West,4136,136196,15
1817,North,723,29404,26
1920,South,850,184711,10
1407,West,2428,133187,15
1524,East,848,130449,22
1827,East,4777,47684,11
1505,South,1517,88591,39
1902,East,2726,139821,2
1824,North,4624,22682,1
1035,West,2919,131186,37
1684,North,2393,189118,47
1019,North,3540,41832,23
1320,East,2568,36997,28
1775,North,1625,54640,46
1511,East,3617,60491,45
1399,West,4661,83043,33
1653,West,4542,132175,19
1971,North,4933,148568,17
1882,South,2670,134250,13
1470,East,946,92725,17
1142,East,3158,148131,1
1091,North,3862,65520,0
1353,East,3218,82919,19
1833,East,3983,129869,33
1799,South,3444,84442,40
1726,South,4876,172842,40
1958,North,1095,125246,47
1853,South,2486,198570,10
1050,North,3250,129687,26
1664,West,1574,143447,22
1697,North,4469,81477,37
1574,West,4805,20244,43
1189,North,4721,183860,2
1124,East,4080,99453,11
1149,South,3507,197561,29
1313,West,1469,147962,30
1569,North,1080,91303,22
1341,South,3324,48390,0
1304,North,4501,30247,40
1691,South,1711,185750,19
1681,South,729,49583,5
1837,North,4784,159148,10
1782,West,3685,169078,34
1053,West,1001,166123,3
1443,East,2632,155386,28
1612,South,548,48670,9
1992,East,4066,144920,28
1263,East,3555,30236,37
1052,North,1188,55568,0
1571,North,886,127327,39
1619,North,1469,130188,7
1004,South,3960,36352,37
1102,North,1505,145721,16
1195,North,3552,196722,18
1773,South,3917,161418,32
1876,South,2802,176228,14
1991,West,2783,75904,44
1883,North,2107,165107,30
1349,North,4866,142141,20
1046,North,622,36108,2
1866,West,1780,22853,1
1822,North,4227,104156,34
1935,West,758,24176,40
1819,East,1447,120459,15
1655,West,1024,176992,44
1268,East,1387,157901,20
1369,North,707,143225,11
1635,East,3882,138458,27
1105,West,3294,130893,11
1669,South,648,93927,32
1658,East,937,138178,19
1656,East,2702,60667,39
1119,North,4249,186915,20
1830,West,3661,181615,38
1786,East,4401,26611,40
1603,East,4953,108242,41
1057,East,3745,104612,35
1950,East,3323,66902,21
1345,South,3770,53043,25
1740,West,985,156343,6
1473,North,699,92867,6
1116,North,4966,97089,7
1829,South,2482,78745,25
1790,West,1971,162645,23
1126,East,4843,172481,23
1392,South,2811,105970,39
1907,West,3873,44464,47
1640,East,2578,193912,11
1057,South,2021,199857,46
1633,West,1104,138523,7
1512,North,4348,40662,8
1750,North,3842,38228,2
1801,West,1917,80721,20
1095,North,4375,158458,30
1637,West,3433,26862,47
1117,East,1048,60108,46
1559,West,1338,111788,23
1600,East,4315,100140,3
1487,South,1347,178273,19
1236,West,4754,88578,15
1884,South,4968,69966,9
1896,North,2772,30386,42
1271,East,3820,97228,25
1188,West,3058,166297,28
1998,South,4811,167765,4
1703,East,2496,92197,10
1446,East,4173,63021,28
1580,North,2064,138915,44
1789,North,4518,169333,14
1860,East,2340,178450,5
1246,East,3791,137174,47
1962,West,3387,106755,14
1075,East,1226,163009,42
1153,West,1744,86330,19
1655,East,3960,198438,33
1434,North,4218,92322,1
1996,West,1565,122318,43
1085,South,782,191232,15
1696,North,1581,65313,18
1284,West,4385,47032,33
1973,West,3381,168430,13
1219,South,3084,81710,23
1068,West,3470,115326,27
1046,East,1652,106157,47
1093,South,3997,199893,31
1749,North,1447,48365,36
1957,North,2217,33189,9
1452,East,566,27248,44
1203,North,1136,24369,47
1911,West,813,159122,8
1217,West,3897,48605,23
1473,East,1064,69616,35
1431,North,2101,123719,28
1340,North,1325,191955,28
1550,East,4170,53055,47
1611,South,1525,136680,22
1288,North,2751,27450,26
1253,South,1304,153997,30
1733,North,2951,70272,42
1356,North,1891,25310,6
1022,North,1735,51817,44
1761,North,4532,195600,3
1521,West,3780,102641,13
1757,South,4049,35457,41
1836,South,4700,62311,41
1099,North,4641,155052,9
1801,North,1854,171958,43
1179,South,2336,143573,33
1222,West,3392,117427,25
1905,East,2996,56181,22
1761,East,3083,184334,8
1658,South,3058,152019,36
1441,North,4118,151094,7
1607,North,2059,21128,13
1768,West,2007,99522,6
1324,East,4571,183394,6
1515,West,2563,68929,8
1015,East,4142,101696,2
1791,South,2500,135245,13
1335,East,1794,29808,16
1758,West,4565,115148,43
1257,West,3252,41725,21
1496,West,2253,92534,45
1987,South,4710,59950,25
1895,East,2103,103576,27
1159,East,1822,40557,44
1474,West,2941,41825,13
1851,East,1598,28998,8
1663,North,2005,56080,25
1907,North,1626,166874,1
1689,North,796,162239,10
1674,East,3549,62407,16
1379,South,2725,140283,33
1544,South,4854,33338,18
1928,South,4287,96289,38
1956,South,2596,169967,17
1690,North,4109,198982,12
1426,North,2708,151029,4
1612,West,675,129367,22
1267,East,3002,85898,23
1834,East,4499,154526,28
1576,South,2167,137486,47
1416,North,4871,106540,46
1167,South,3045,156421,7
1841,West,1175,145416,25
1042,East,2323,59963,14
1555,East,1856,158822,0
1284,South,3572,114929,27
1396,West,3759,173535,46
1011,East,1046,94935,45
1606,West,2583,33686,13
1301,West,2540,83528,41
1897,South,2252,119811,33
1252,North,2115,42787,30
1498,South,2349,165848,5
1753,North,3142,135613,4
1034,West,2100,124887,30
1726,North,3896,81086,36
1848,West,4902,122231,14
1089,East,4105,83308,14
1775,East,4299,35797,42
1604,East,1118,25302,4
1921,South,1632,58059,27
1969,South,2615,151980,32
1601,West,2839,163949,10
1417,East,3239,34239,42
1114,South,4776,47313,5
1616,East,1987,62103,22
1902,South,2057,199480,39
1195,North,2613,108771,1
1825,North,1544,146228,14
1500,East,2931,111665,22
1625,West,2082,30534,21
1492,South,1808,63060,8
1074,South,1101,37189,46
1412,North,2120,148431,39
1375,North,600,106067,29
1419,West,4771,30967,15
1728,West,737,85563,45
1276,West,4525,28660,46
1760,East,3418,138671,29
1675,North,3042,149909,44
1393,East,2503,190895,8
1868,North,2037,160688,0
1456,North,1254,95976,37
1919,South,3868,199810,7
1191,North,2758,33107,17
1738,North,4165,114182,26
1688,East,4735,111787,17
1098,North,1040,35954,31
1547,East,769,36943,31
1977,West,3960,60725,47
1998,North,3908,65434,44
1095,North,1005,105751,35
1663,East,1629,30110,35
1662,West,2579,36462,20
1189,South,3645,99232,45
1735,West,3742,86567,31
1036,East,861,147425,30
1779,West,4220,76063,36
1368,East,1956,133394,15
1694,East,4567,75240,45
1524,South,4695,101352,45
1278,North,2181,168940,13
1216,East,1552,100989,23
1866,East,3009,42222,24
1872,South,1181,99794,45
1797,East,4432,83924,34
1272,North,2629,119854,16
1880,South,4516,98513,45
1061,North,3802,74649,41
1595,North,1219,122986,44
1879,South,574,103749,3
1728,East,1793,161295,10
1341,North,2422,199238,46
1396,North,4657,59369,14
1698,North,819,106379,29
1018,North,2649,89392,23
1176,South,1952,32661,1
1611,South,2055,166663,42
1395,West,4707,91718,33
1444,West,3532,27970,22
1232,North,960,67922,30
1914,East,1386,50755,36
1075,North,4033,140926,12
1264,East,4436,39416,32
1454,North,1615,33672,6
1795,West,1575,148145,31
1717,West,4376,198068,6
1734,East,2424,94095,41
1383,North,1426,20064,37
1563,East,2781,88835,43
1850,West,1555,156711,12
1505,North,1041,162127,23
1366,North,2661,107594,27
1143,East,2751,180499,31
1884,South,1552,136916,42
1068,East,3244,140308,17
1098,West,4369,102516,33
1395,West,4981,84666,47
1024,West,4657,138294,33
1947,West,2060,30866,37
1890,West,4262,23889,0
1468,South,1664,138194,42
1483,North,3222,144714,41
1564,East,2858,199298,30
1150,East,970,51335,0
1143,West,1916,70547,15
1568,East,1968,177234,38
1038,West,1308,175759,14
1108,South,671,118756,32
1692,South,4626,30995,22
1041,North,4642,22631,40
1185,South,4725,186026,33
1934,South,2899,157039,16
1397,North,2145,108294,24
1222,East,557,107278,41
1633,West,1629,84471,5
1132,West,1853,57116,30
1162,East,1267,112116,4
1214,North,4395,185299,39
1732,East,1182,153014,39
1234,South,3954,67664,29
1842,North,2508,179141,4
1657,North,3642,107342,11
1750,North,2290,34407,6
1587,West,1977,133926,44
1008,East,1385,79201,12
1073,North,4406,100093,3
1953,North,4992,37878,41
1491,North,2038,103100,2
1912,East,2573,98629,11
1252,West,812,63168,0
1229,South,1310,74862,26
1518,West,2735,48004,42
1173,North,3357,40471,12
1652,West,3263,111820,16
1167,West,2532,122229,7
1169,South,2007,85308,31
1392,East,3070,103969,19
1945,East,2394,34568,16
1794,West,3205,29466,33
1633,West,1096,77324,34
1193,East,2647,122208,34
1516,East,1115,166539,37
1028,South,1447,95955,41
1164,North,4873,167748,23
1421,West,4264,114791,17
1338,East,2513,182586,45
1647,West,4197,128718,47
1495,West,990,42650,38
1364,East,4850,108290,32
1832,South,2928,97701,22
1341,West,1041,30683,24
1499,South,1787,100978,36
1656,East,2133,24860,26
1510,North,3426,154801,0
1326,North,1852,51351,20
1216,West,4876,82744,9
1300,East,1798,175418,30
1131,South,4467,140198,43
1803,West,4923,94155,24
1069,East,2758,141449,19
1251,East,2573,96700,1
1414,South,1201,26955,47
1786,West,2419,195365,14
1444,East,2960,41662,27
1875,East,4762,26408,12
1181,East,4764,191475,13
1166,South,4824,21225,1
1090,West,866,163268,33
1713,West,1027,166444,34
1857,West,4218,37279,36
1530,West,4109,130401,24
1038,North,4435,112404,47
1125,North,2653,189259,14
1450,West,2408,68481,11
1172,South,3512,179547,8
1652,North,4728,64552,30
1753,East,3522,157930,13
1219,North,3983,94474,28
1637,East,3220,45168,47
1057,West,2270,52099,42
1659,North,4613,81455,37
1475,South,2277,74240,41
1455,North,4712,94796,7
1828,North,1297,74592,47
1894,North,3715,142181,2
1360,West,4288,198530,1
1934,South,3476,121611,15
1000,North,4237,78046,18
1386,South,2211,36488,29
1972,West,1252,138521,40
1347,East,2969,151467,15
1189,North,4469,161917,30
1504,South,1892,187131,27
1190,South,3105,38394,3
1507,West,1177,113993,9
1368,North,605,196978,44
1408,East,3787,79332,17
1823,South,2446,188377,46
1928,North,1595,62628,31
1933,East,2282,41352,29
1116,South,3757,102971,35
1133,South,2497,71993,8
1057,East,2061,190458,35
1555,East,4506,123027,28
1684,West,2175,140212,15
1671,North,1622,28539,27
1172,North,4481,152335,20
1828,West,1801,164377,46
1814,South,1443,73817,1
1148,East,1445,175470,45
1079,East,1100,69107,34
1885,East,3200,183224,27
1212,South,1917,181696,35
1202,East,2024,149240,30
1763,East,4266,119655,32
1228,West,750,76132,22
1675,South,2044,145701,40
1226,North,578,125494,16
1658,West,3623,72979,45
1531,West,1397,78013,0
1440,North,725,83797,41
1401,West,1709,71798,22
1046,South,2678,167722,47
1232,East,3179,177086,26
1304,South,3385,96421,24
1525,North,3306,27434,31
1142,North,1203,50028,18
1414,West,3044,86558,23
1512,South,2870,44331,2
1372,South,3781,87573,11
1565,North,828,149473,34
1885,South,4728,197398,14
1258,North,620,102979,16
1655,South,1464,24123,31
1470,South,4724,36603,6
1952,South,4175,85941,18
1970,North,2576,62597,6
1011,West,832,104238,4
1329,South,3868,193791,39
1735,North,1816,61751,20
1783,North,1696,146462,47
1967,South,3670,106978,47
1357,South,1929,37693,46
1971,West,855,188769,6
1407,North,4734,114524,36
1667,North,2026,117869,22
1372,East,4397,181064,10
1007,North,528,83825,9
1121,West,1513,160594,20
1347,East,3202,150475,40
1675,East,1327,65406,32
1089,East,4946,163193,19
1647,South,2524,143371,32
1697,South,798,165291,39
1315,North,2365,21617,34
1177,East,4516,63016,33
1539,West,2611,44276,35
1731,South,1254,92240,26
1868,West,1269,126292,18
1040,West,4235,37959,42
1739,South,1738,48522,4
1703,South,2713,161025,28
1922,South,2406,46567,9
1501,South,2064,82708,39
1958,East,1718,146206,12
1144,East,1857,42560,28
1200,East,4339,78390,4
1928,East,1960,145772,11
1723,North,4485,187732,12
1460,East,1916,65104,21
1731,South,3353,77805,39
1751,West,1928,44496,14
1924,East,4878,111257,12
1908,North,4974,23515,0
1557,South,4793,24454,37
1546,West,3562,42873,42
1252,West,3571,93920,44
1389,East,1055,33727,0
1593,West,855,148376,10
1882,East,2063,89070,42
1255,East,4000,119059,39
1708,South,1540,144564,21
1814,South,3186,137213,34
1920,North,4974,45465,43
1449,South,3053,79799,5
1009,South,2279,116129,27
1823,East,575,172402,30
1797,South,4826,159374,7
1241,East,3819,127288,4
1250,East,2849,32875,41
1876,South,3273,47219,47
1004,North,2762,56182,43
1118,North,3729,193341,16
1800,West,2616,99781,37
1373,West,892,26457,8
1064,South,1608,157821,9
1145,North,4862,53064,19
1223,East,1110,160893,13
1238,West,3275,135256,13
1176,East,4498,118297,25
1778,West,1172,158736,28
1852,South,4177,180353,26
1281,North,530,182893,24
1062,West,1900,175719,15
1216,North,4571,89918,35
1853,East,1116,110179,33
1826,South,3286,94944,15
1794,North,1370,109142,32
1688,South,4696,47603,2
1460,North,4104,66458,22
1928,East,1912,90605,10
1609,East,3239,39623,47
1104,South,1440,64440,17
1098,East,840,102427,46
1510,West,3408,158776,40
1384,North,4633,113826,43
1404,East,1159,47460,28
1822,West,2533,130373,4
1517,South,2060,157637,23
1475,West,3957,24870,28
1976,South,2156,38909,28
1708,South,3475,29117,25
1862,North,1549,87474,39
1644,North,953,113926,2
1869,West,2204,195394,1
1770,North,3284,147463,24
1436,North,1318,121536,18
1022,North,512,40128,39
1996,West,4479,89001,1
1564,East,1420,20440,18
1676,North,2918,143491,0
1713,North,1814,162735,26
1457,West,4177,170619,44
1082,East,2517,101662,34
1144,North,1728,20005,40
1084,South,2934,27038,4
1077,West,3368,26414,37
1456,North,3015,89506,3
1877,North,1938,96586,16
1000,South,4664,153678,20
1050,South,4043,36482,47
1684,West,3675,53948,30
1716,West,2281,109987,47
1771,South,2763,40875,21
1445,West,2469,33057,10
1448,South,711,52400,33
1880,North,1007,88607,14
1487,South,831,107561,9
1799,South,1050,47503,37
1033,East,1441,174837,31
1347,South,1227,121096,47
1094,South,3362,66612,30
1071,East,3743,118318,36
1550,West,1148,104335,43
1153,East,3237,120989,27
1249,North,3247,113012,30
1673,East,1509,101748,5
1437,North,2050,160500,13
1117,West,1303,182491,22
1770,East,4580,85195,15
1890,East,4809,109846,24
1305,West,4764,122404,38
1267,North,3901,59142,1
1960,East,4741,91540,37
1053,North,3661,189361,40
1235,East,4655,96948,38
1388,South,1027,78951,33
1989,East,3798,31755,39
1733,West,1523,137985,42
1762,West,4234,104553,24
1824,North,932,154962,35
1400,East,1676,114376,15
