warehouse_id,region,shipments_per_day,delivery_time_hours,delayed_shipments
21,West,149,19.06425809373748,34
13,West,260,61.62142595634835,15
24,South,433,42.070150799685315,39
26,East,100,9.586506903808804,35
11,West,176,40.46221315350167,11
18,South,229,23.568963744276985,15
16,East,257,53.585918601861515,48
14,North,335,7.4453087084868335,4
7,South,36,66.2519884576814,46
28,West,203,35.47417836601204,4
6,South,105,53.39996139058553,19
17,South,454,51.32631149276392,47
29,West,428,14.477559438717181,37
23,North,487,63.6065293171634,35
15,West,291,18.289090593892215,31
10,West,172,15.339712495702866,39
25,North,290,38.44493008306262,10
17,West,120,70.91826767425069,10
2,East,98,23.93761848988419,42
23,East,460,69.51158427314671,48
17,West,290,32.45638397400114,27
13,East,203,60.42730283696115,11
18,South,101,39.09890448147211,45
19,East,56,16.36828557268759,30
2,East,147,63.59952685678514,39
29,South,84,7.037637175057466,29
2,East,308,49.792812705068954,19
18,West,150,60.153092326188926,26
7,South,324,60.241782684925,24
10,South,425,47.87093812550729,49
4,West,201,19.569817687557645,33
4,West,168,39.216672338248316,34
24,West,129,46.06754208614679,42
21,East,124,64.27860471736307,4
1,East,46,13.17676144860064,39
2,East,407,34.54435909680919,38
10,West,134,25.319515612905278,7
15,North,246,31.939866571238348,18
12,East,148,14.813453039076611,42
3,North,279,17.220161981900507,17
4,South,458,55.88942569591905,15
9,West,43,35.48634334994294,18
14,West,129,37.99030468093055,14
10,South,176,64.82346749115098,28
10,East,41,18.798573653861805,14
5,East,170,25.049008819118704,28
11,East,232,23.603146149878118,16
29,North,353,48.14666997913196,14
27,South,27,41.37155029409619,39
14,North,333,35.00812356719284,10
6,East,99,48.758903699532,2
11,North,107,35.87430504293532,12
11,South,78,59.117014944971345,37
3,East,109,30.71701890178307,8
13,North,282,64.34253269911179,19
18,South,300,10.374102349245021,47
18,East,121,8.57636572248665,25
6,East,192,47.899106092995716,11
13,West,237,29.279410797433492,48
6,East,275,33.900005004750334,30
12,West,173,50.721305086608034,1
7,East,177,17.017756814961253,32
14,North,213,5.074958373603797,15
9,North,399,32.72224442116195,4
3,East,254,64.63077418423238,16
15,East,72,33.55165148548964,48
7,West,220,42.03750382794549,39
7,North,186,16.585765754634835,31
24,North,127,34.48517560900711,14
21,East,414,35.64581939133277,11
19,West,482,18.45988552258403,16
27,East,159,13.465766721797113,9
27,North,147,26.51804376101205,25
29,North,197,4.720581494550439,43
2,North,75,13.65162492318604,27
20,North,443,53.19474424082874,27
28,East,386,47.43936942535736,22
24,North,419,23.89465713331289,19
14,East,196,40.581337795555044,16
5,North,307,60.05694684288776,43
1,North,101,60.74012905420872,7
12,South,392,47.806383556471005,49
12,West,448,10.683737113030276,14
19,South,232,13.403016429013354,40
21,South,483,22.417124113592827,22
22,North,346,48.95003173309089,13
2,West,408,20.060270871928626,39
29,South,403,34.510273865115636,45
24,South,191,59.78679481167638,26
13,East,188,64.42416249732172,42
12,West,116,60.69817556403526,12
23,South,242,10.150707898189854,38
23,South,360,65.75278806076119,42
27,East,214,49.88971035610856,24
7,North,477,45.315061884272616,25
21,South,400,19.328157167237723,43
2,West,478,66.97595084116057,10
8,East,169,3.2152746484924384,37
19,West,420,7.753020942134376,8
19,West,261,12.757220390515991,42
18,West,108,50.59011029502162,32
2,East,380,45.60000994504059,15
2,West,495,68.12744583675571,48
13,South,197,26.42872023013751,19
6,East,231,26.33317185311422,6
8,South,497,48.86738057821968,32
19,North,178,14.19100492158892,12
6,South,416,34.48298476212628,46
19,West,477,3.080327433278867,34
9,North,70,43.442765509033606,3
15,West,267,56.87932760189594,30
17,East,308,16.26280308972885,29
23,East,380,23.501946345684793,2
8,North,39,11.228752461498726,40
9,South,195,45.09721577620594,26
5,West,481,41.48143706414394,31
6,South,399,59.84773227673049,46
21,West,91,69.92405941817148,37
26,West,475,70.8550508618852,5
21,South,249,9.5017435998293,7
27,East,495,40.71955577153358,23
11,East,349,57.27583104797715,14
7,North,140,48.128815636875295,24
28,South,161,64.78907057772665,26
20,East,81,32.92034315250156,43
15,East,198,31.896795122650662,12
13,West,225,3.8278779539325063,19
15,West,146,3.095486917533799,4
14,East,217,50.48521801202178,37
6,North,117,35.0026302575657,6
4,East,146,48.216155240105664,4
29,North,100,18.675563160937234,27
18,North,424,62.416458486861146,36
18,West,250,65.20051572171982,28
28,North,367,48.360770261635636,41
29,South,313,21.446093690428807,36
4,South,162,17.130917858775813,6
27,West,55,45.78499064110539,45
21,East,247,67.85445842785796,25
1,South,28,42.46787158182105,46
3,South,255,60.751339064241975,18
5,East,246,41.57838839881902,9
24,West,334,49.22209056327938,41
20,North,256,41.74436517238964,19
6,North,357,42.27546246656165,45
28,East,329,53.74750649548315,30
4,East,164,29.737107146038433,35
5,South,101,65.27983860515673,45
12,North,23,62.44449939309242,5
7,West,103,52.77199815093481,14
13,South,32,54.03983346508065,23
8,North,478,30.926856590097824,29
13,West,134,60.27685329708752,8
12,North,318,67.28266735048248,0
10,South,495,57.66040253543685,49
10,West,283,11.31160329010702,46
8,North,254,57.063534520075116,14
27,North,423,34.52000456581589,5
29,North,142,44.60896569328634,14
28,South,229,71.38119707058569,6
14,South,218,27.154836662251796,45
23,West,336,26.396986957511785,26
4,East,63,20.419308587918756,9
20,North,198,10.898618420127475,31
2,North,461,13.77215714590935,20
9,North,478,37.998829332253734,43
6,South,403,65.68598788120408,36
29,North,136,58.69294872435773,37
27,West,266,14.774445145439852,35
19,South,433,41.31831019877324,13
3,South,374,61.28472490731908,41
29,South,359,39.76451218205923,38
13,South,120,65.80024849336826,40
27,East,29,65.55194718087787,47
11,South,241,26.37708206695823,13
28,East,421,63.17507010377019,1
14,South,399,42.958106265302156,23
17,South,300,35.589241644641724,9
18,North,499,56.198569235828295,41
5,South,122,57.27317306152634,5
25,West,181,49.27956531579368,2
3,West,63,58.76256395290974,33
7,West,265,68.59967386491499,25
6,North,442,63.116121759434456,9
27,South,498,7.197728962060838,37
3,West,495,61.50202837660528,20
27,West,109,56.70693843524586,24
20,West,383,66.871897574225,1
13,East,215,53.76982697517969,35
11,East,190,63.449746208801116,0
27,East,423,2.7153133249289176,43
21,West,347,70.44637270327472,41
2,West,277,15.36344128423417,35
8,South,133,62.49606888000512,43
12,West,174,67.07274430161823,23
12,West,309,2.1556403412053866,9
23,West,330,65.95746634676416,34
15,West,183,60.04483180410949,21
25,North,488,66.56888519162246,45
8,South,475,14.381761349656047,46
12,West,234,56.42086534166415,33
23,North,126,36.12400983281556,31
25,East,347,20.038232449981827,15
10,North,88,54.93199827733151,29
21,East,123,35.12772584574491,35
3,North,340,64.99192812737982,30
6,North,401,51.75120523267439,29
25,North,104,11.740176807220829,4
22,East,447,19.553442962358968,23
28,East,318,20.517347121307026,45
15,East,93,26.083506317696177,35
14,West,469,48.651530047146096,26
3,East,296,64.60327946279813,13
18,North,464,43.55901799658633,36
21,East,160,54.62611981425103,12
24,South,127,24.171302764164242,19
24,West,389,38.57253641250563,27
17,North,47,37.28884405277503,5
28,South,177,51.07418772476037,8
14,East,101,38.25712610333585,21
14,North,125,25.397754144718114,22
16,East,149,19.073518199663987,7
19,North,333,19.829416421141957,0
27,West,230,70.66190991266811,6
11,North,40,27.023354073951285,11
5,East,365,58.462286790965884,38
1,East,193,6.995648144498133,16
29,North,236,8.275726036999345,49
22,South,358,50.03058067219788,15
20,West,44,34.00463826717562,3
25,North,332,63.634530950426814,36
18,West,167,62.355419199763354,8
26,East,281,54.89600685231852,8
14,West,293,59.07213548996409,26
5,West,196,62.935285538832176,11
5,East,485,56.85028846145136,33
22,West,423,38.882457495507644,22
5,South,378,20.532257589810403,34
10,South,181,57.11676388138919,39
10,North,413,24.23957897079706,8
9,North,308,19.13725961836495,42
14,South,134,14.016733289109748,12
1,North,458,45.90319690799666,49
29,West,422,18.973528341254685,45
24,East,213,28.23793458622188,42
6,North,66,51.63440995256642,1
27,North,196,57.56804808403689,46
25,South,470,24.033526504811668,1
26,East,49,60.99600633145635,28
7,North,230,6.056971544675497,44
12,North,488,71.01109571585444,21
15,East,334,31.181352547778978,42
16,East,265,24.741965158215145,20
3,East,481,66.65730222862491,46
16,North,306,11.267231788331364,5
8,South,296,27.0459098679384,46
14,West,292,27.12307825990435,27
26,North,456,31.705318892670842,15
3,North,454,61.38373539938849,0
12,East,427,61.45670388415727,22
14,East,248,43.414610771889635,7
29,West,443,71.42311334502642,7
19,North,252,61.091254488951684,41
4,East,117,49.67484819768262,0
12,North,194,15.962089574975629,10
3,East,295,40.48115172090714,7
22,West,291,16.97347179958234,46
27,South,333,23.11593630927216,30
23,West,68,50.010466534867795,45
16,North,445,14.909379965936466,35
3,North,415,8.358868823750727,7
3,East,188,39.20819147469721,23
29,North,461,2.0666021383978044,26
7,North,79,44.6240743761787,28
10,North,299,65.09391068413589,43
25,East,288,15.316988220433167,17
16,West,309,28.793838971072528,8
13,East,464,66.1456546573616,35
19,North,430,51.27098261530015,37
28,South,249,11.471960236527252,13
6,South,104,28.739616572651347,12
21,West,342,54.91966269138996,39
24,West,260,48.53444642958384,23
9,West,289,12.896104515078314,38
24,West,126,6.373745846989749,13
14,West,249,49.71653692806336,7
17,North,265,44.631594734096105,11
7,South,120,6.15398929342481,30
8,North,316,70.23683240808559,33
5,West,127,19.67069997096272,35
20,East,460,29.021648405019288,20
23,South,177,14.4318242469029,3
12,South,64,59.99655191447298,10
22,North,93,69.37977459207491,41
28,North,276,16.931397135410947,36
2,East,122,21.821835884415574,40
16,South,111,51.4561189839037,6
28,South,265,38.95224354863547,11
25,South,256,9.354724135302536,4
27,West,230,67.00335078400161,2
3,South,113,44.78057762875514,31
15,North,103,23.088025692573932,39
17,East,455,36.28621903125896,34
16,West,39,37.017279612020666,35
28,West,42,38.77924339015427,11
3,South,370,36.81139886379975,29
15,East,115,41.32552771349487,32
1,North,391,29.534689039133774,39
12,North,365,12.231388662357553,40
10,North,481,48.52081764429743,2
23,East,281,57.47405480765474,25
27,East,180,60.871274220663494,37
6,South,27,3.536647403401241,40
28,East,338,30.323773115494156,33
8,East,143,70.49067693542942,2
20,South,151,6.3794169193002865,13
6,West,416,56.98878660027121,44
19,North,54,10.827906563529389,45
4,West,112,59.724741248434064,13
22,North,492,49.055490929047046,16
16,West,437,52.75231618025591,14
5,East,331,70.41248047576403,11
16,West,158,67.76386481748236,38
29,West,313,23.30600376885222,40
18,South,240,28.265156355523757,43
25,East,448,30.502720063268473,29
13,East,105,14.640242059273447,48
13,North,461,28.679441774855384,6
18,South,137,70.53174073572356,47
8,East,181,36.26941250702491,34
29,West,129,68.68206221748956,30
21,West,350,7.002057827504281,39
7,West,111,4.749986773127469,36
22,East,394,42.273109353806156,13
27,East,219,53.5377653902245,27
15,North,171,17.22213083963903,11
2,North,93,37.23509420034373,40
4,East,482,63.10583501036266,5
16,West,338,55.320711453646034,3
12,South,128,18.22697425529658,32
16,North,442,25.41299907073615,4
25,East,424,23.405388766640286,8
23,West,247,52.36548309362544,38
17,North,439,69.77268034052304,17
29,North,261,21.60549104357527,31
29,East,323,43.18103636836342,30
20,West,359,71.1990952613092,33
10,North,266,13.030561043500523,39
15,North,416,48.135762058288456,26
19,East,21,25.239166800210455,36
14,North,130,71.41679904995189,36
1,East,430,9.613994851074505,38
21,East,282,33.587963192981604,43
25,East,124,19.848135406257896,12
4,North,237,4.217763907563927,3
2,South,497,69.45180200945418,8
23,West,294,41.772031198052524,7
28,West,443,51.05510094369522,45
8,West,40,45.41924610781612,5
27,South,333,12.393152461853528,32
2,North,429,13.939228268969952,5
11,North,477,45.8511866313589,47
27,West,311,56.58666613433441,16
10,East,319,44.774914142149385,36
11,West,339,41.92617115058411,12
9,South,46,54.21736228852377,21
29,South,155,19.052584995844118,49
26,North,365,53.21523045072115,18
24,East,404,30.785431149219168,27
4,North,146,49.18350650095474,42
28,North,298,21.230165715332188,24
29,South,92,11.622546587726815,43
4,North,50,4.041131143975308,7
21,South,410,58.243194593253385,44
1,North,28,15.787845276986456,31
23,South,218,27.442504509369776,46
28,South,495,55.81984515317888,10
4,West,400,33.512735465209865,37
1,South,456,17.228424316428956,17
4,South,391,15.63336820917603,47
4,East,163,30.55547429842184,26
1,South,221,41.562345616041796,37
14,East,427,29.464618791467796,36
16,East,349,65.31987019536402,45
9,North,193,2.268382121940892,41
24,South,432,30.140812235605853,35
25,North,236,53.99844119504409,40
7,North,252,64.36237819937652,33
14,South,305,27.088127231561668,14
28,South,454,49.15123905605828,12
5,West,230,42.62441271128611,26
14,North,178,16.107272657601257,18
13,North,49,49.666104524392665,35
23,West,309,19.46952255765519,12
2,South,239,56.87353667768137,6
26,West,294,62.61308366174119,44
23,East,478,35.48956078637406,0
20,East,431,5.788721393378092,40
12,North,25,53.6146791270732,20
21,West,164,34.70506132648165,15
27,East,120,8.616346104952378,48
7,North,110,25.179591475004006,28
2,South,382,22.34488049018533,23
21,North,183,52.845157900172794,18
28,East,20,31.684669341529688,26
18,East,163,43.09333895450176,47
10,East,471,37.07690283278235,46
6,South,66,52.69798497674498,0
26,West,42,52.26355920207478,26
24,South,243,33.41528826979082,13
7,South,214,11.452333225859885,10
12,East,465,30.551344881419837,22
21,South,104,13.209465113573884,46
16,South,363,69.14105409237489,19
19,South,418,68.51008686000961,25
20,West,478,33.96799635999097,17
18,North,86,3.933951311345904,35
22,East,486,28.225058269647818,29
14,East,318,64.6565806063725,3
15,East,411,22.161479513942364,18
8,South,390,45.538589112102024,4
24,West,117,14.875606023320621,1
15,South,191,59.76149439793883,9
25,South,251,64.43281246052446,48
21,North,45,45.05837872211427,42
12,North,214,45.663373642586805,42
26,West,179,28.499202058218163,10
27,North,339,51.49639559343558,21
22,West,62,35.49231105707026,42
18,South,131,54.184080754823974,7
10,South,254,69.79583270024254,2
20,East,477,59.56631048314627,40
14,North,477,38.21318712471556,39
19,South,337,70.5221960931565,17
25,North,260,44.495756055787425,49
16,West,414,6.541069369375234,21
22,North,137,53.12573366041176,10
22,South,481,59.4043491525412,1
20,West,498,11.43875841792305,21
6,North,156,49.550297653651434,40
13,North,67,66.4641648492935,14
11,South,409,19.599816698531953,7
1,South,260,42.9506026208911,18
9,West,73,21.221179926069887,8
19,North,337,56.2085190365161,4
5,East,146,42.64620260572656,7
7,West,140,31.96534434061296,32
2,East,457,4.02915923255012,48
20,East,373,68.13592635427726,14
15,West,254,36.84174910848658,14
29,West,75,58.287668021647704,40
6,West,357,29.432643788998565,6
1,West,106,61.43725459085566,20
22,South,433,13.202726529788215,45
5,East,150,18.204573843604468,25
2,South,403,25.337397716227194,0
22,North,274,8.201673612702852,25
21,South,80,33.06886598902746,25
29,West,418,36.01470722043316,27
14,East,248,10.03599984226172,8
17,East,278,31.89690943678271,25
29,East,418,15.810723548369035,12
12,East,470,63.264823884764226,4
27,West,176,37.65053968766774,45
6,East,306,68.6376299609826,17
7,North,218,25.90020454679032,22
16,North,346,25.897659992972553,27
25,North,74,25.709829277221424,36
27,North,478,20.779915972187666,4
13,South,111,56.89656306648598,26
2,East,399,21.791856783397925,19
22,East,247,22.160924936513066,35
22,North,446,5.282738106593896,36
17,North,129,69.57529671003257,33
29,West,379,64.04056941929048,13
24,West,300,22.475675908976623,46
5,West,484,38.45383261036541,5
2,North,458,35.792156744111885,26
21,West,395,8.139216756802798,1
20,South,69,39.183799713963666,8
23,South,57,9.932861782391551,10
26,North,335,32.386273863613475,4
24,East,104,8.146300080271201,10
1,South,199,43.22413299810406,2
1,West,359,5.4306218608112795,25
8,North,477,45.990004113787094,13
11,North,217,51.50529284900371,8
12,North,95,41.96042351543692,18
4,East,484,34.86430212869323,16
24,West,192,6.25548944349098,48
7,West,244,2.794728963510136,45
25,West,119,25.970207049411524,23
13,South,131,55.98767038448917,13
7,West,38,47.30945264771592,9
4,West,275,10.769666061136984,6
12,East,152,50.15574142425864,12
21,West,256,42.24409132877015,34
23,South,445,13.670623548197055,30
18,East,141,54.87111489948959,37
13,South,112,60.12131560779822,41
19,East,376,18.279020217153672,36
3,West,49,46.512040535432185,28
14,West,340,28.46927361611788,5
16,North,95,6.092269873012013,7
25,East,482,62.29472567203937,24
2,North,280,59.45211366732373,4
20,West,313,24.255975569810875,9
24,West,158,39.205361676735606,22
1,East,359,37.86587475882007,0
25,North,304,14.422139195911193,12
14,West,289,12.197173587701545,36
22,North,237,61.098751278352765,25
28,East,93,62.71506801554408,18
4,East,366,52.76257970705625,25
5,East,268,7.093586750521261,47
7,East,127,65.63995226682977,49
11,West,252,70.6526914400833,41
12,West,252,56.29297503627966,1
8,East,492,26.73888677726827,40
21,North,285,30.40423406470885,18
7,North,58,62.87457087459775,11
3,West,79,21.613027528990155,43
2,South,115,11.930032778108991,34
18,South,245,59.596300417003974,31
10,South,426,15.533278519531141,12
28,West,116,65.51098801252675,35
19,East,499,43.69774889112623,0
22,West,425,40.87588966599976,32
15,East,489,56.30245319801195,3
27,East,392,3.1525701745024266,1
26,East,362,51.94772974939081,7
17,West,230,43.89457680755999,15
19,North,426,38.664648148120094,21
3,North,297,17.212828632800385,9
13,West,465,60.06041113312062,8
2,North,241,19.545522603508868,6
15,South,294,36.28410126108075,39
17,South,41,13.065624216065808,16
29,North,146,70.15971449588531,29
1,North,404,15.617301901912453,10
14,North,181,58.2252880999003,42
1,North,399,20.415547558075584,14
24,North,45,19.923026618559888,6
22,West,23,31.519727223263736,2
25,South,195,61.20933169903509,22
28,East,64,50.1290192235665,26
11,West,287,63.01443910613361,29
3,East,111,5.304861296716323,47
13,North,312,68.89849096376486,15
23,East,406,7.399582651931604,13
22,West,175,52.47457723920086,21
9,North,240,16.502120827695922,49
15,North,487,60.859139963054275,19
9,West,149,62.36531882633371,9
27,East,459,40.58748200862374,28
25,West,468,30.200950348720752,3
7,East,321,57.535984466870076,30
25,East,130,63.182195440797834,13
7,West,247,53.678175547179656,4
25,North,447,65.48417308404359,37
2,South,253,45.85721109389108,3
2,North,421,48.93303521199913,10
23,West,220,42.03033731273351,24
26,West,56,36.17135660608576,11
22,West,73,47.84024186867526,30
22,East,300,41.2808777115366,10
21,North,402,53.186798282070406,38
1,South,124,67.39640702302911,31
23,West,358,28.113302694288578,10
18,West,209,30.781789290556585,6
16,South,172,3.0523504264682817,1
24,North,199,38.892419483575964,0
10,North,260,11.198066947606693,24
23,West,210,52.12004975237549,8
16,West,418,56.57108519330494,45
28,South,321,52.59183966610113,35
13,East,75,40.26510438163893,28
2,East,133,39.3952103420557,9
2,North,45,47.25877585775527,26
10,West,129,40.82905711971618,18
24,West,467,54.52036258934632,18
28,East,423,64.61694702763043,19
12,West,470,39.5290645501511,28
5,East,172,9.723913262011154,2
8,North,296,11.17230185287862,21
17,East,181,28.314291282560003,21
9,South,121,36.740492045185164,28
24,North,491,17.75352621773468,22
22,South,380,33.69251446817459,39
15,West,44,11.501374182347611,25
13,East,212,18.85810053516582,46
14,South,432,53.37712636813823,21
8,West,307,70.98992256620885,37
17,South,275,15.034216688089128,8
11,South,386,25.73676059854391,20
8,South,404,26.548065287330814,35
14,South,182,17.63282557587012,49
1,North,459,16.283986650443747,47
12,North,291,11.218603371486578,35
20,South,51,65.52602170410097,31
10,West,258,47.45606475142088,31
12,South,482,22.332756019488013,33
19,East,408,20.066612469016135,22
27,North,29,43.280620806861066,25
15,North,489,50.805566456604865,15
3,East,382,19.71059982608105,37
26,East,347,26.301399564556984,48
9,North,98,22.342862545591807,2
8,East,295,8.139583169009816,44
10,North,364,29.05699082950756,1
28,West,415,39.3527821988952,35
8,West,109,47.87563780340587,8
16,South,471,31.171567984296285,27
11,North,466,70.83590829007348,23
23,East,429,45.80863848563079,48
24,North,463,64.06091909998558,44
24,South,349,66.11914338504867,27
26,South,259,59.49795547659028,6
22,North,80,20.898990762920853,25
8,South,418,32.18939751668608,45
18,South,24,2.0269605523169956,0
7,North,179,33.59848203068657,40
3,South,115,22.5626893889918,44
8,West,425,9.832725343154703,40
5,North,297,60.70114964163109,34
27,South,31,49.14128061860417,17
5,East,339,71.93724792549851,21
19,North,350,36.88719096861343,12
17,West,363,25.14942951796137,15
29,East,254,20.46679765837556,46
29,East,128,32.4752767855866,28
14,West,227,23.691052500494308,20
18,East,35,71.35309875074388,41
29,West,468,14.795574781529343,8
28,West,326,3.33907864611556,28
2,South,234,11.099964573054041,11
23,North,495,64.40726287067838,7
18,North,51,50.57434815026418,9
7,East,134,56.87805473951316,33
17,East,145,24.43300968992577,46
18,South,456,45.589249086882695,19
16,North,247,51.55290457564435,15
23,North,248,24.84912785291896,41
7,South,406,52.71693837649987,44
18,West,390,46.07611010592076,10
12,West,416,22.736450021008512,47
26,North,495,5.699911962583031,13
29,East,367,18.65053753354035,30
16,East,333,45.3675326648542,39
14,North,64,43.9321460093379,33
7,East,43,37.53544059204433,3
25,North,454,19.603257106636363,49
8,North,32,33.11757197859836,47
14,South,427,12.083062726070201,6
22,South,24,48.366806224972855,41
20,North,100,62.841203260376105,37
14,East,197,34.45801290918913,0
27,South,479,16.909828260399777,49
3,East,394,59.95204038004191,45
8,North,196,23.915559722848037,23
19,East,421,43.57773425593363,41
12,North,308,7.279506800404915,27
11,East,205,52.25562109607434,23
21,North,434,34.247019345159195,12
11,South,181,31.634403548637376,37
3,South,369,67.43855291127358,9
9,East,371,36.40426800942606,25
11,West,477,3.1725359260164314,1
23,East,50,69.18746183510603,32
19,West,374,2.854902549213584,27
10,South,98,39.51086109807056,26
29,West,302,46.351791566894754,5
23,South,206,64.61389087742029,16
16,North,46,49.544872270010906,32
4,South,394,58.77929508633146,14
1,North,404,55.894582094357695,45
4,South,95,16.947440347229936,2
27,West,215,51.03276503476447,9
26,North,426,46.63075226037241,28
27,West,273,19.07795971644585,6
27,North,373,10.9831678747169,49
8,North,327,54.614755968291895,35
16,East,460,69.97883893275161,43
6,West,106,53.69120854546143,21
1,North,454,54.46149135138495,30
16,South,486,13.669315977592834,38
1,South,142,19.29387531056251,13
20,South,487,43.00338446073838,1
16,North,210,4.2001587898465145,48
27,East,274,48.75460601232217,5
22,North,231,12.136787625229317,18
4,East,240,30.93774598491098,26
27,East,352,24.41316882457058,5
25,South,303,9.45188503343105,1
2,South,299,42.51400398601595,12
14,South,273,27.287209633496808,46
6,North,297,5.078948973151708,9
23,South,489,33.1093984768878,39
20,South,187,43.318120951455484,4
12,West,222,11.129004892074025,13
5,North,411,42.94957307349542,30
14,North,115,23.141689559816218,24
5,East,235,20.175369779929166,5
18,East,287,57.68382469734711,11
16,North,452,34.741917049031244,2
21,North,123,28.45461008416132,46
16,East,168,58.911567284395346,49
10,South,403,65.72409768254926,22
11,West,342,24.055853292063656,0
21,East,186,5.527864431078039,14
5,South,128,39.850229439977234,48
4,East,337,52.060759246777764,39
26,West,357,43.14535209835767,12
20,South,77,50.16390251540987,37
29,East,465,47.27069940417668,13
7,South,217,68.91964364610543,18
6,East,439,62.61425857383766,8
15,North,192,11.229046568761309,27
27,West,147,33.6822714630367,32
15,East,354,33.833799038367715,32
24,West,290,33.943359732220856,44
17,North,337,67.14927643764953,38
10,West,185,24.90350045937814,32
18,West,83,44.9991126027522,3
11,West,127,64.74194126671125,17
27,East,400,5.53770570990219,25
18,North,135,63.49877809443754,24
2,East,263,55.5471298707212,34
3,East,363,16.551067440622834,38
6,North,218,24.785790626271044,17
3,North,412,23.74107229821465,32
7,North,222,17.491455335227407,17
3,South,483,46.696496041626105,28
15,East,474,70.7979809815713,40
13,West,428,13.662825542474335,7
6,South,97,18.253220159354807,48
2,South,468,22.326189215375866,1
2,South,423,67.62997356347424,3
19,South,47,45.807510990299534,14
28,North,324,16.88677873530124,7
8,North,249,58.2792347352309,29
9,West,309,66.60108872845083,46
2,South,220,30.24095360468868,38
7,South,39,14.097182251956939,23
29,North,126,23.694158884113666,40
17,North,263,17.198032682592753,11
15,South,377,16.09989124503236,35
4,South,242,13.955211624037478,13
22,North,488,63.32334743225735,42
23,North,41,8.012161432025714,31
13,East,224,30.93446706804814,13
3,East,447,3.0314546492701915,27
12,West,66,22.537670989550406,42
3,East,44,51.48546150900888,19
29,West,169,16.198502980482743,12
21,West,121,71.91107548045665,45
19,East,336,5.380946950757933,44
9,South,199,11.553856746147737,16
16,North,138,57.08166780187427,29
18,West,167,70.31988496513571,47
26,South,499,68.78091043258466,39
29,East,227,57.8765511789719,16
16,East,39,70.10905980123421,31
12,South,124,60.85561145297066,43
7,West,489,6.061735747725207,18
23,West,125,61.19438823267375,8
19,South,377,35.86459550919844,42
24,West,192,33.97272490351822,25
12,North,56,2.176912178799531,0
11,East,162,45.41800154532575,48
12,East,351,49.012607112329924,18
19,West,156,57.35008096065962,44
21,South,120,24.81670905872105,11
17,North,191,10.96935211644387,43
15,West,162,32.789521756033054,27
10,South,63,27.360155131440365,44
