order_id,warehouse_id,processing_time_hours,shipping_time_hours,delivery_time_hours
O395,W5,15,115,71
O396,W2,44,91,107
O397,W3,36,31,179
O398,W4,40,67,174
O399,W3,24,46,89
O400,W5,6,38,57
O401,W5,40,42,118
O402,W5,8,57,69
O403,W3,14,104,231
O404,W2,20,64,88
O405,W4,24,28,211
O406,W4,19,29,168
O407,W3,12,90,225
O408,W4,39,40,162
O409,W5,7,74,60
O410,W2,44,64,227
O411,W1,27,76,100
O412,W2,8,56,109
O413,W1,30,57,196
O414,W5,32,82,88
O415,W5,16,26,228
O416,W4,32,36,239
O417,W1,27,79,158
O418,W5,33,70,153
O419,W4,30,68,175
O420,W4,9,94,152
O421,W4,26,78,67
O422,W2,10,48,137
O423,W2,39,90,239
O424,W2,18,64,195
O425,W2,8,85,124
O426,W1,20,88,136
O427,W4,20,56,95
O428,W3,23,90,229
O429,W4,31,50,149
O430,W4,8,120,171
O431,W4,23,36,106
O432,W4,19,43,102
O433,W1,5,62,196
O434,W1,39,106,196
O435,W4,24,107,190
O436,W5,39,56,104
O437,W3,22,42,132
O438,W1,12,115,155
O439,W5,2,70,70
O440,W2,18,115,181
O441,W5,37,85,118
O442,W3,8,109,174
O443,W3,11,30,124
O444,W4,25,52,234
O445,W3,43,67,208
O446,W5,44,77,200
O447,W3,47,45,62
O448,W1,45,65,141
O449,W1,32,111,102
O450,W5,47,38,98
O451,W3,15,84,189
O452,W4,39,105,165
O453,W2,17,84,195
O454,W3,1,24,88
O455,W1,36,109,53
O456,W4,23,62,126
O457,W1,6,90,189
O458,W3,19,45,237
O459,W3,1,71,149
O460,W1,18,44,200
O461,W4,1,57,123
O462,W1,22,73,108
O463,W5,22,88,163
O464,W4,35,55,99
O465,W4,10,76,167
O466,W2,23,93,60
O467,W3,10,75,165
O468,W3,13,31,193
O469,W3,2,37,84
O470,W2,6,38,118
O471,W4,39,106,68
O472,W4,40,65,199
O473,W2,16,29,196
O474,W5,27,88,218
O475,W5,18,104,82
O476,W3,22,64,162
O477,W3,1,104,146
O478,W4,7,108,170
O479,W4,43,33,111
O480,W3,44,113,54
O481,W4,21,70,215
O482,W4,28,111,225
O483,W4,16,106,130
O484,W2,44,33,221
O485,W2,4,61,89
O486,W4,40,51,63
O487,W4,20,55,132
O488,W4,25,47,177
O489,W1,37,91,105
O490,W5,19,90,214
O491,W4,36,54,67
O492,W4,16,36,91
O493,W1,33,117,143
O494,W1,16,73,189
O495,W4,22,74,197
O496,W4,15,41,168
O497,W3,41,70,169
O498,W3,47,62,71
O499,W1,24,84,170
O500,W2,9,38,132
O501,W2,10,88,142
O502,W4,27,117,182
O503,W3,16,81,74
O504,W1,4,92,124
O505,W4,7,51,123
O506,W2,44,106,229
O507,W5,31,35,227
O508,W1,13,39,218
O509,W5,10,103,197
O510,W1,30,107,168
O511,W2,42,73,224
O512,W1,3,53,126
O513,W1,38,38,171
O514,W2,5,115,203
O515,W4,9,32,232
O516,W4,14,54,236
O517,W1,37,109,222
O518,W3,34,117,228
O519,W3,19,36,103
O520,W4,35,87,110
O521,W3,46,96,190
O522,W4,27,84,147
O523,W3,40,27,159
O524,W4,33,114,154
O525,W2,39,56,117
O526,W3,21,35,91
O527,W1,2,74,151
O528,W3,19,62,229
O529,W1,37,78,144
O530,W2,21,110,134
O531,W1,29,82,219
O532,W2,22,102,138
O533,W5,32,53,155
O534,W2,5,61,192
O535,W3,13,68,204
O536,W3,27,31,239
O537,W3,34,73,190
O538,W5,10,91,168
O539,W4,32,46,68
O540,W3,24,73,153
O541,W2,43,51,205
O542,W1,32,89,83
O543,W1,11,29,215
O544,W4,38,95,178
O545,W1,20,116,70
O546,W4,14,57,233
O547,W3,32,103,179
O548,W3,10,74,209
O549,W1,46,83,237
O550,W3,46,100,229
O551,W3,12,63,153
O552,W4,16,68,108
O553,W4,2,48,92
O554,W5,31,63,126
O555,W4,19,31,134
O556,W4,15,103,221
O557,W1,5,91,157
O558,W5,48,62,129
O559,W5,13,82,156
O560,W4,4,120,203
O561,W5,33,72,104
O562,W3,35,39,95
O563,W4,12,107,193
O564,W4,46,42,236
O565,W3,34,94,52
O566,W4,8,67,144
O567,W4,41,110,128
O568,W1,41,65,168
O569,W1,44,79,63
O570,W4,23,96,61
O571,W5,8,27,223
O572,W2,4,102,79
O573,W4,23,107,192
O574,W3,39,24,239
O575,W4,47,52,94
O576,W4,9,96,238
O577,W5,17,32,80
O578,W4,11,112,239
O579,W4,11,115,61
O580,W2,48,112,146
O581,W1,31,119,190
O582,W1,45,65,150
O583,W2,14,38,113
O584,W2,26,89,215
O585,W4,48,99,177
O586,W2,20,115,60
O587,W1,16,48,136
O588,W1,7,91,80
O589,W4,14,95,226
O590,W2,29,41,68
O591,W3,17,45,153
O592,W4,22,48,165
O593,W1,40,38,147
O594,W2,44,56,49
O595,W1,8,62,183
O596,W4,3,43,112
O597,W5,22,95,239
O598,W4,34,96,182
O599,W4,39,40,209
O600,W5,12,112,192
O601,W1,23,116,202
O602,W4,32,93,222
O603,W2,4,116,80
O604,W5,45,104,171
O605,W2,2,75,49
O606,W3,18,92,48
O607,W1,15,28,58
O608,W5,3,85,117
O609,W2,6,88,226
O610,W1,1,110,62
O611,W1,40,94,173
O612,W4,1,38,56
O613,W2,6,54,125
O614,W5,48,55,137
O615,W4,29,24,231
O616,W3,30,64,170
O617,W4,25,90,197
O618,W5,9,55,189
O619,W3,39,36,236
O620,W5,1,89,177
O621,W3,40,30,164
O622,W2,42,84,174
O623,W5,37,101,52
O624,W4,35,89,167
O625,W4,4,62,154
O626,W5,12,76,200
O627,W5,7,47,229
O628,W1,11,105,168
O629,W5,30,81,86
O630,W2,6,24,147
O631,W5,47,110,76
O632,W1,45,92,77
O633,W1,18,114,233
O634,W2,23,67,60
O635,W1,48,40,105
O636,W2,10,78,211
O637,W4,47,55,181
O638,W5,4,30,118
O639,W2,23,71,213
O640,W2,10,27,99
O641,W3,46,91,96
O642,W1,21,117,194
O643,W4,48,102,162
O644,W5,9,35,161
O645,W4,20,104,156
O646,W2,47,107,118
O647,W3,46,61,52
O648,W2,4,95,210
O649,W5,46,27,77
O650,W3,14,105,116
O651,W4,29,42,100
O652,W4,46,113,201
O653,W4,4,34,164
O654,W4,46,57,115
O655,W2,36,26,117
O656,W1,1,106,67
O657,W4,25,47,146
O658,W5,27,40,218
O659,W4,25,27,90
O660,W3,45,46,226
O661,W3,32,43,180
O662,W4,10,71,71
O663,W2,47,47,141
O664,W1,46,103,178
O665,W5,9,51,93
O666,W3,46,104,221
O667,W3,30,101,222
O668,W4,29,43,135
O669,W4,32,46,148
O670,W2,27,36,210
O671,W2,25,79,145
O672,W3,40,70,50
O673,W1,38,47,170
O674,W4,40,99,90
O675,W3,10,83,61
O676,W4,43,41,221
O677,W5,42,31,226
O678,W5,14,64,123
O679,W1,29,38,124
O680,W2,47,58,136
O681,W2,22,45,78
O682,W5,12,40,228
O683,W2,47,70,113
O684,W3,39,97,205
O685,W2,12,107,151
O686,W1,36,104,200
O687,W3,30,80,56
O688,W4,12,100,94
O689,W2,36,104,136
O690,W2,1,77,68
O691,W1,23,63,48
O692,W1,14,81,205
O693,W2,14,116,146
O694,W4,21,24,83
O695,W2,29,60,203
O696,W5,11,86,84
O697,W3,37,84,59
O698,W1,13,50,94
O699,W1,38,110,63
O700,W4,31,40,139
O701,W3,34,83,121
O702,W3,23,79,90
O703,W4,25,110,54
O704,W5,10,56,67
O705,W1,33,74,88
O706,W5,48,50,57
O707,W4,5,82,217
O708,W1,25,104,148
O709,W2,43,86,94
O710,W2,17,97,209
O711,W5,42,53,159
O712,W3,48,24,202
O713,W3,30,112,136
O714,W5,1,87,79
O715,W4,29,49,213
O716,W1,40,97,123
O717,W3,1,81,161
O718,W2,37,120,207
O719,W1,22,36,66
O720,W2,1,30,136
O721,W4,39,50,203
O722,W5,30,118,146
O723,W5,40,97,106
O724,W1,15,26,161
O725,W2,47,29,104
O726,W4,12,56,96
O727,W3,21,88,204
O728,W3,16,86,213
O729,W2,16,42,100
O730,W2,10,24,234
O731,W5,18,112,222
O732,W5,6,94,89
O733,W5,27,117,232
O734,W1,47,74,111
O735,W2,44,84,89
O736,W5,5,87,231
O737,W5,24,119,117
O738,W1,29,93,179
O739,W2,38,51,69
O740,W4,3,63,71
O741,W5,8,61,237
O742,W1,15,117,99
O743,W3,28,64,237
O744,W2,18,57,135
O745,W3,20,93,223
O746,W2,10,80,193
O747,W4,15,95,66
O748,W2,30,90,181
O749,W1,15,105,188
O750,W1,44,114,143
O751,W3,19,92,133
O752,W4,3,75,141
O753,W4,21,72,183
O754,W3,17,54,235
O755,W1,14,112,127
O756,W5,12,78,127
O757,W5,10,39,208
O758,W2,6,103,124
O759,W5,8,93,125
O760,W4,22,75,218
O761,W3,24,75,77
O762,W5,42,52,71
O763,W4,35,117,138
O764,W2,32,80,92
O765,W1,7,35,140
O766,W1,34,54,141
O767,W5,9,67,157
O768,W1,45,27,92
O769,W2,44,48,213
O770,W2,14,98,161
O771,W2,37,54,112
O772,W1,8,86,59
O773,W2,2,117,168
O774,W1,5,104,68
O775,W2,24,64,174
O776,W3,34,34,80
O777,W5,12,30,129
O778,W3,26,33,160
O779,W4,37,36,77
O780,W5,12,109,98
O781,W1,24,120,82
O782,W4,4,119,48
O783,W3,12,44,189
O784,W4,32,62,125
O785,W5,17,64,48
O786,W1,28,60,76
O787,W1,31,96,116
O788,W5,35,80,131
O789,W4,36,105,127
O790,W5,13,110,71
O791,W4,19,104,234
O792,W5,2,66,142
O793,W4,31,93,183
O794,W2,18,46,51
O795,W1,10,107,58
O796,W1,42,103,82
O797,W3,22,107,168
O798,W5,39,109,218
O799,W4,30,120,234
O800,W5,48,57,195
O801,W1,19,87,50
O802,W4,4,55,160
O803,W2,30,39,170
O804,W1,10,79,168
O805,W4,43,70,67
O806,W5,27,103,158
O807,W2,29,67,162
O808,W5,24,84,100
O809,W4,35,39,170
O810,W3,1,68,81
O811,W2,33,74,115
O812,W3,5,50,106
O813,W1,47,91,220
O814,W2,29,78,151
O815,W1,41,52,99
O816,W2,35,97,235
O817,W1,11,87,189
O818,W2,28,69,199
O819,W3,11,78,110
O820,W4,29,94,176
O821,W1,23,73,161
O822,W3,35,64,153
O823,W1,8,43,179
O824,W3,21,50,97
O825,W5,18,116,138
O826,W3,42,103,195
O827,W5,30,92,239
O828,W3,8,48,83
O829,W3,10,31,67
O830,W2,36,42,50
O831,W3,28,102,80
O832,W4,37,57,173
O833,W5,28,41,182
O834,W3,27,72,153
O835,W3,31,92,145
O836,W5,4,67,126
O837,W1,26,120,63
O838,W3,26,105,124
O839,W3,37,65,188
O840,W1,10,100,233
O841,W5,12,115,225
O842,W4,3,63,71
O843,W5,39,79,72
O844,W3,38,65,57
O845,W5,21,73,176
O846,W5,26,103,159
O847,W4,13,97,128
O848,W5,21,24,96
O849,W1,32,81,65
O850,W3,5,110,192
O851,W2,32,117,55
O852,W2,23,47,89
O853,W4,26,99,176
O854,W4,35,64,217
O855,W5,6,71,91
O856,W4,18,64,113
O857,W4,31,96,51
O858,W4,18,86,130
O859,W1,28,109,221
O860,W3,21,116,73
O861,W5,45,47,194
O862,W4,10,83,134
O863,W5,40,79,75
O864,W3,25,29,100
O865,W5,39,39,103
O866,W5,39,34,153
O867,W3,39,118,236
O868,W5,30,83,126
O869,W1,17,51,124
O870,W1,7,30,210
O871,W1,48,80,69
O872,W3,5,44,127
O873,W1,3,27,171
O874,W1,35,72,65
O875,W3,27,62,48
O876,W1,39,101,118
O877,W4,24,94,75
O878,W3,26,99,193
O879,W5,38,79,169
O880,W5,20,38,98
O881,W3,24,104,90
O882,W2,45,49,180
O883,W5,24,26,176
O884,W2,36,44,132
O885,W5,23,60,77
O886,W3,35,60,169
O887,W2,11,46,113
O888,W4,40,38,202
O889,W5,7,96,82
O890,W5,32,28,219
O891,W1,38,78,102
O892,W5,16,101,54
O893,W1,24,45,179
O894,W4,36,58,172
O895,W3,3,100,114
O896,W2,10,109,204
O897,W1,20,50,54
O898,W3,4,85,97
O899,W2,41,47,86
O900,W4,33,79,128
O901,W2,47,61,177
O902,W2,31,78,197
O903,W5,35,119,225
O904,W3,43,61,64
O905,W5,11,78,208
O906,W1,14,51,119
O907,W4,46,111,100
O908,W2,31,51,134
O909,W4,30,117,115
O910,W4,34,101,174
O911,W3,43,53,58
O912,W1,21,31,174
O913,W5,32,31,50
O914,W2,24,77,118
O915,W1,5,24,211
O916,W2,47,32,123
O917,W3,5,112,172
O918,W1,47,100,73
O919,W1,17,56,59
O920,W1,43,35,150
O921,W1,45,62,209
O922,W5,2,71,229
O923,W1,1,51,218
O924,W1,30,39,102
O925,W2,23,106,146
O926,W1,39,46,48
O927,W1,13,94,102
O928,W5,45,111,110
O929,W5,12,83,172
O930,W4,44,76,121
O931,W1,45,38,81
O932,W1,22,108,111
O933,W4,39,57,163
O934,W3,17,28,62
O935,W3,14,65,159
O936,W2,23,46,54
O937,W5,20,77,142
O938,W1,15,75,131
O939,W2,6,103,171
O940,W3,36,69,217
O941,W3,47,107,63
O942,W5,34,50,200
O943,W1,9,103,190
O944,W5,1,75,51
O945,W5,29,70,224
O946,W2,12,90,63
O947,W1,48,44,219
O948,W4,3,93,239
O949,W5,18,67,64
O950,W4,5,120,48
O951,W1,38,91,188
O952,W4,13,43,99
O953,W3,9,78,203
O954,W3,31,75,224
O955,W4,31,119,226
O956,W3,1,110,53
O957,W2,6,99,238
O958,W2,42,93,203
O959,W1,17,42,151
O960,W2,27,70,198
O961,W3,30,74,122
O962,W3,15,57,103
O963,W2,48,94,138
O964,W4,45,84,189
O965,W5,43,42,226
O966,W4,30,68,207
O967,W1,43,89,100
O968,W1,3,45,116
O969,W5,26,85,113
O970,W5,18,60,235
O971,W4,29,65,54
O972,W5,12,95,107
O973,W3,25,36,210
O974,W3,17,90,216
O975,W5,44,76,232
O976,W5,21,94,165
O977,W2,5,28,64
O978,W3,47,71,84
O979,W5,33,68,114
O980,W3,20,63,185
O981,W3,38,43,51
O982,W4,9,61,146
O983,W4,17,50,132
O984,W2,17,115,239
O985,W4,1,119,68
O986,W5,39,51,187
O987,W1,36,104,170
O988,W3,39,77,51
O989,W2,21,88,117
O990,W5,10,64,171
O991,W2,5,47,106
O992,W4,24,65,225
O993,W3,13,117,141
O994,W4,11,114,217
O995,W2,36,50,147
O996,W3,7,75,138
O997,W1,36,99,235
O998,W5,13,71,161
O999,W2,31,120,128
O1000,W5,23,54,223
O1001,W2,48,87,68
O1002,W3,10,34,56
O1003,W2,47,27,236
O1004,W4,18,46,102
O1005,W4,34,90,145
O1006,W4,26,62,206
O1007,W1,37,97,103
O1008,W4,39,111,161
O1009,W1,33,34,165
O1010,W2,2,60,89
O1011,W1,9,117,166
O1012,W4,8,42,204
O1013,W1,26,29,208
O1014,W2,37,73,88
O1015,W2,15,30,198
O1016,W1,43,66,102
O1017,W2,43,82,131
O1018,W2,44,50,124
O1019,W5,37,96,119
O1020,W5,20,94,153
O1021,W4,30,48,155
O1022,W4,29,62,87
O1023,W4,43,104,160
O1024,W3,6,80,94
O1025,W2,23,33,212
O1026,W4,16,32,224
O1027,W2,23,119,146
O1028,W3,23,92,203
O1029,W2,40,97,184
O1030,W5,13,102,114
O1031,W1,3,85,232
O1032,W4,41,73,142
O1033,W2,15,49,215
O1034,W1,28,106,59
O1035,W2,31,30,145
O1036,W1,26,82,199
O1037,W1,40,112,165
O1038,W2,22,98,81
O1039,W1,33,78,65
O1040,W1,33,117,104
O1041,W5,32,119,78
O1042,W4,47,53,59
O1043,W3,30,27,198
O1044,W1,28,112,182
O1045,W3,37,24,232
O1046,W1,9,42,95
O1047,W1,41,56,229
O1048,W4,6,37,203
O1049,W1,25,86,132
O1050,W3,48,70,195
O1051,W1,17,42,166
O1052,W1,17,111,101
O1053,W1,25,117,229
O1054,W5,38,79,168
O1055,W1,36,45,99
O1056,W2,45,100,229
O1057,W3,4,62,72
O1058,W4,19,45,127
O1059,W1,28,107,171
O1060,W5,43,75,68
O1061,W5,35,102,218
O1062,W3,32,48,189
O1063,W2,4,114,178
O1064,W2,47,51,94
O1065,W4,36,56,88
O1066,W2,38,72,61
O1067,W3,27,91,91
O1068,W4,43,65,75
O1069,W5,27,77,150
O1070,W5,29,26,96
O1071,W3,41,112,182
O1072,W3,19,98,189
O1073,W2,32,118,214
O1074,W4,18,113,186
O1075,W2,1,79,89
O1076,W4,4,46,195
O1077,W1,24,33,180
O1078,W2,25,87,106
O1079,W1,5,35,140
O1080,W5,36,37,162
O1081,W1,34,63,71
O1082,W2,42,79,51
O1083,W2,16,73,52
O1084,W3,26,57,95
O1085,W1,4,86,68
O1086,W4,16,59,64
O1087,W4,39,49,59
O1088,W4,1,84,87
O1089,W3,10,114,53
O1090,W3,8,79,90
O1091,W2,47,71,114
O1092,W4,18,91,60
O1093,W2,8,97,193
O1094,W2,40,116,223
O1095,W2,20,74,95
O1096,W5,16,27,126
O1097,W2,45,27,193
O1098,W2,42,68,71
O1099,W5,37,106,199
O1100,W2,17,118,216
O1101,W2,40,55,128
O1102,W1,26,118,86
O1103,W3,2,47,75
O1104,W2,45,114,103
O1105,W1,40,85,154
O1106,W2,7,98,139
O1107,W5,13,37,196
O1108,W2,20,55,66
O1109,W3,7,58,52
O1110,W4,44,56,171
O1111,W2,14,38,70
O1112,W3,9,65,83
O1113,W5,22,107,162
O1114,W3,48,24,182
O1115,W3,16,85,51
O1116,W4,13,50,223
O1117,W5,22,83,84
O1118,W2,41,66,220
O1119,W3,21,60,228
O1120,W2,20,82,202
O1121,W3,22,27,105
O1122,W5,38,97,200
O1123,W1,20,108,65
O1124,W5,40,85,194
O1125,W4,32,91,61
O1126,W3,14,39,195
O1127,W4,3,78,155
O1128,W1,34,61,62
O1129,W3,3,117,155
O1130,W5,27,98,175
O1131,W4,12,93,119
O1132,W2,33,100,98
O1133,W3,13,118,172
O1134,W2,14,41,78
O1135,W1,4,118,116
O1136,W2,31,48,98
O1137,W1,10,26,150
O1138,W3,24,113,94
O1139,W4,5,82,56
O1140,W3,29,48,75
O1141,W3,16,105,76
O1142,W2,38,66,220
O1143,W4,40,118,97
O1144,W2,21,115,59
O1145,W5,24,28,110
O1146,W3,34,115,49
O1147,W4,47,71,194
O1148,W3,6,94,212
