order_id,product_id,customer_id,quantity
O638,P168,C886,3
O639,P162,C235,3
O640,P1,C1328,1
O641,P440,C437,3
O642,P70,C27,3
O643,P429,C1659,1
O644,P141,C1439,4
O645,P180,C168,1
O646,P162,C467,3
O647,P257,C895,4
O648,P20,C657,3
O649,P452,C1925,5
O650,P197,C177,3
O651,P301,C1112,4
O652,P327,C1742,5
O653,P352,C1387,1
O654,P157,C980,3
O655,P346,C289,4
O656,P389,C1028,5
O657,P164,C1425,3
O658,P197,C1641,3
O659,P303,C3,1
O660,P27,C274,4
O661,P26,C1332,2
O662,P110,C1733,3
O663,P417,C1524,4
O664,P109,C1435,4
O665,P200,C127,3
O666,P78,C197,4
O667,P244,C1220,3
O668,P164,C1664,4
O669,P70,C522,1
O670,P419,C1669,4
O671,P139,C1676,5
O672,P413,C255,2
O673,P460,C1190,5
O674,P277,C177,2
O675,P485,C248,3
O676,P476,C1576,1
O677,P294,C734,5
O678,P294,C562,3
O679,P372,C1299,1
O680,P34,C1334,3
O681,P199,C1583,4
O682,P468,C962,5
O683,P11,C1509,4
O684,P259,C514,4
O685,P145,C1839,2
O686,P226,C1793,1
O687,P157,C956,2
O688,P307,C1607,4
O689,P403,C353,3
O690,P390,C591,5
O691,P404,C1486,3
O692,P486,C430,4
O693,P448,C149,2
O694,P154,C1598,2
O695,P180,C215,2
O696,P238,C172,3
O697,P276,C323,1
O698,P464,C275,2
O699,P220,C687,1
O700,P34,C1908,1
O701,P326,C751,2
O702,P314,C308,2
O703,P64,C392,4
O704,P417,C145,1
O705,P136,C1123,1
O706,P36,C578,5
O707,P46,C1786,3
O708,P461,C175,5
O709,P35,C412,2
O710,P319,C1018,3
O711,P83,C1112,2
O712,P65,C908,4
O713,P294,C1013,2
O714,P434,C805,1
O715,P91,C43,5
O716,P180,C75,5
O717,P9,C1603,4
O718,P390,C1218,3
O719,P153,C42,5
O720,P243,C451,1
O721,P133,C1778,2
O722,P350,C1824,1
O723,P276,C764,1
O724,P472,C586,2
O725,P297,C1553,3
O726,P375,C1902,4
O727,P397,C625,2
O728,P103,C777,1
O729,P291,C1653,3
O730,P456,C1890,1
O731,P266,C764,1
O732,P134,C1552,5
O733,P292,C11,1
O734,P243,C817,1
O735,P83,C925,2
O736,P99,C527,3
O737,P371,C1917,2
O738,P13,C101,5
O739,P127,C692,3
O740,P362,C353,1
O741,P162,C242,1
O742,P205,C366,4
O743,P167,C1847,4
O744,P359,C1563,3
O745,P249,C1820,2
O746,P92,C1333,4
O747,P219,C1654,5
O748,P227,C840,1
O749,P478,C196,5
O750,P130,C755,5
O751,P208,C1664,1
O752,P42,C1901,5
O753,P194,C1709,1
O754,P299,C1015,1
O755,P481,C1948,5
O756,P292,C1804,3
O757,P31,C1704,4
O758,P87,C1134,5
O759,P201,C1810,5
O760,P130,C1285,4
O761,P127,C1020,2
O762,P56,C248,5
O763,P440,C1313,3
O764,P272,C243,3
O765,P97,C853,3
O766,P128,C1602,3
O767,P219,C1372,5
O768,P112,C1979,2
O769,P244,C1218,2
O770,P431,C1232,3
O771,P322,C938,2
O772,P231,C1465,1
O773,P91,C504,2
O774,P273,C906,5
O775,P5,C1590,3
O776,P244,C1804,4
O777,P46,C940,4
O778,P82,C1512,2
O779,P179,C821,1
O780,P131,C1627,2
O781,P461,C1159,3
O782,P174,C608,5
O783,P393,C604,1
O784,P453,C1893,3
O785,P377,C1288,4
O786,P160,C1972,5
O787,P45,C1194,5
O788,P334,C644,3
O789,P232,C1614,5
O790,P233,C1617,2
O791,P59,C825,5
O792,P114,C1889,4
O793,P464,C56,1
O794,P343,C391,1
O795,P238,C1749,2
O796,P91,C614,5
O797,P429,C1418,3
O798,P44,C437,2
O799,P157,C1212,1
O800,P179,C63,5
O801,P9,C488,4
O802,P81,C1375,5
O803,P403,C391,2
O804,P34,C547,3
O805,P482,C1773,4
O806,P217,C314,2
O807,P464,C1173,2
O808,P273,C392,2
O809,P123,C11,2
O810,P67,C1292,2
O811,P257,C22,2
O812,P36,C1861,2
O813,P393,C1847,3
O814,P373,C1986,2
O815,P20,C719,5
O816,P156,C756,5
O817,P271,C1291,1
O818,P427,C1864,1
O819,P338,C104,2
O820,P68,C1020,2
O821,P189,C1306,1
O822,P463,C480,3
O823,P190,C1062,1
O824,P194,C1210,5
O825,P211,C820,2
O826,P282,C1278,4
O827,P49,C1157,3
O828,P401,C1584,1
O829,P263,C1754,3
O830,P150,C641,3
O831,P105,C39,1
O832,P360,C1473,5
O833,P121,C1519,3
O834,P50,C719,3
O835,P239,C173,4
O836,P310,C716,1
O837,P385,C1175,1
O838,P446,C429,1
O839,P321,C320,3
O840,P178,C527,2
O841,P268,C782,2
O842,P165,C446,1
O843,P279,C29,3
O844,P497,C1227,5
O845,P493,C525,3
O846,P346,C334,5
O847,P12,C1542,2
O848,P261,C842,4
O849,P485,C1847,4
O850,P333,C348,3
O851,P207,C609,2
O852,P223,C1891,5
O853,P184,C1450,4
O854,P387,C1623,2
O855,P256,C862,4
O856,P126,C1279,3
O857,P377,C1539,1
O858,P297,C1130,2
O859,P269,C384,1
O860,P126,C392,3
O861,P248,C1196,4
O862,P496,C751,5
O863,P161,C357,4
O864,P442,C717,5
O865,P205,C426,2
O866,P146,C526,1
O867,P130,C1417,3
O868,P404,C558,1
O869,P139,C1358,2
O870,P239,C352,1
O871,P96,C48,5
O872,P388,C117,2
O873,P53,C1243,5
O874,P459,C1095,1
O875,P265,C1211,5
O876,P361,C1840,3
O877,P493,C1448,2
O878,P38,C297,4
O879,P349,C928,5
O880,P450,C482,3
O881,P320,C670,5
O882,P295,C244,4
O883,P362,C1461,2
O884,P350,C1178,2
O885,P367,C126,1
O886,P83,C1450,3
O887,P21,C120,2
O888,P487,C1089,5
O889,P211,C974,2
O890,P473,C1181,2
O891,P27,C1831,3
O892,P352,C1434,2
O893,P331,C309,4
O894,P1,C1234,5
O895,P497,C1285,5
O896,P148,C740,2
O897,P294,C1104,1
O898,P4,C1911,2
O899,P390,C1645,5
O900,P100,C742,2
O901,P490,C247,2
O902,P398,C1483,2
O903,P299,C1538,2
O904,P103,C356,4
O905,P341,C1654,3
O906,P17,C851,3
O907,P445,C1926,5
O908,P289,C754,4
O909,P130,C764,3
O910,P339,C824,2
O911,P77,C953,1
O912,P31,C335,5
O913,P145,C746,2
O914,P147,C1278,2
O915,P278,C167,4
O916,P449,C1714,3
O917,P415,C1047,3
O918,P9,C27,3
O919,P429,C1936,1
O920,P38,C722,4
O921,P60,C478,3
O922,P358,C1323,4
O923,P142,C1124,3
O924,P198,C1714,3
O925,P497,C329,3
O926,P59,C1955,4
O927,P408,C1098,4
O928,P183,C811,5
O929,P347,C1245,3
O930,P397,C1738,5
O931,P8,C1752,3
O932,P20,C1075,3
O933,P56,C958,5
O934,P152,C575,1
O935,P88,C1842,5
O936,P487,C1959,2
O937,P380,C1328,1
O938,P8,C681,3
O939,P393,C53,3
O940,P224,C214,2
O941,P12,C185,3
O942,P12,C1586,2
O943,P154,C999,2
O944,P377,C1220,4
O945,P408,C52,1
O946,P453,C1719,4
O947,P46,C1311,1
O948,P227,C116,5
O949,P441,C595,3
O950,P75,C1235,1
O951,P416,C520,1
O952,P91,C1686,3
O953,P19,C1430,4
O954,P261,C1329,2
O955,P148,C130,3
O956,P154,C36,5
O957,P211,C920,4
O958,P198,C244,2
O959,P136,C1130,5
O960,P177,C337,1
O961,P168,C1963,4
O962,P299,C1179,1
O963,P20,C440,3
O964,P98,C1556,1
O965,P274,C1701,2
O966,P450,C921,5
O967,P63,C1968,3
O968,P255,C137,4
O969,P99,C614,5
O970,P89,C1830,2
O971,P37,C584,4
O972,P42,C1096,2
O973,P276,C1427,5
O974,P50,C1450,5
O975,P301,C332,4
O976,P149,C1783,5
O977,P277,C1430,3
O978,P403,C1917,5
O979,P199,C935,1
O980,P64,C1119,4
O981,P247,C720,1
O982,P316,C1724,5
O983,P248,C969,3
O984,P452,C9,2
O985,P429,C340,5
O986,P37,C1267,2
O987,P276,C1097,1
O988,P298,C170,3
O989,P237,C1951,3
O990,P405,C1551,4
O991,P187,C1947,1
O992,P214,C942,4
O993,P430,C1380,1
O994,P149,C1761,4
O995,P71,C1855,5
O996,P172,C1564,3
O997,P382,C1576,3
O998,P123,C625,3
O999,P339,C365,4
O1000,P121,C217,4
O1001,P474,C220,4
O1002,P422,C895,5
O1003,P335,C1803,1
O1004,P351,C1972,4
O1005,P44,C725,4
O1006,P485,C1911,2
O1007,P337,C810,3
O1008,P19,C1368,1
O1009,P249,C656,5
O1010,P219,C1694,4
O1011,P461,C1395,2
O1012,P87,C120,1
O1013,P491,C1916,2
O1014,P323,C1276,4
O1015,P156,C1734,2
O1016,P108,C1603,5
O1017,P24,C1369,3
O1018,P390,C1700,1
O1019,P439,C981,5
O1020,P77,C1847,4
O1021,P19,C214,3
O1022,P22,C1542,3
O1023,P309,C1301,2
O1024,P137,C204,4
O1025,P171,C1402,4
O1026,P490,C148,5
O1027,P19,C541,1
O1028,P441,C1271,5
O1029,P55,C826,1
O1030,P428,C1921,3
O1031,P78,C1106,4
O1032,P300,C1847,3
O1033,P298,C1975,1
O1034,P168,C746,4
O1035,P41,C280,2
O1036,P63,C760,2
O1037,P390,C1019,3
O1038,P323,C396,2
O1039,P325,C353,2
O1040,P355,C555,4
O1041,P402,C610,4
O1042,P359,C807,3
O1043,P95,C1261,3
O1044,P241,C1432,3
O1045,P73,C385,4
O1046,P63,C564,2
O1047,P48,C288,5
O1048,P171,C674,4
O1049,P29,C1806,3
O1050,P490,C1808,4
O1051,P113,C733,3
O1052,P201,C57,4
O1053,P479,C216,1
O1054,P167,C1673,1
O1055,P263,C1638,4
O1056,P98,C1660,4
O1057,P151,C1721,1
O1058,P322,C1724,4
O1059,P309,C1197,4
O1060,P385,C133,2
O1061,P364,C1284,3
O1062,P103,C1239,2
O1063,P75,C206,4
O1064,P491,C1163,1
O1065,P391,C1905,1
O1066,P363,C1449,1
O1067,P277,C1694,1
O1068,P89,C872,2
O1069,P162,C400,1
O1070,P103,C744,1
O1071,P475,C543,1
O1072,P326,C1248,4
O1073,P319,C1767,4
O1074,P98,C76,3
O1075,P167,C1046,2
O1076,P267,C61,4
O1077,P24,C1217,5
O1078,P6,C1417,4
O1079,P212,C427,1
O1080,P31,C1192,5
O1081,P338,C1470,3
O1082,P11,C185,5
O1083,P360,C1959,3
O1084,P208,C697,1
O1085,P432,C248,5
O1086,P340,C824,2
O1087,P486,C770,2
O1088,P334,C735,3
O1089,P253,C1174,4
O1090,P61,C976,4
O1091,P49,C440,3
O1092,P251,C21,3
O1093,P1,C112,5
O1094,P38,C158,4
O1095,P330,C8,1
O1096,P427,C87,1
O1097,P182,C1614,3
O1098,P58,C1865,3
O1099,P86,C1020,4
O1100,P384,C1718,3
O1101,P401,C852,5
O1102,P376,C1395,1
O1103,P102,C793,1
O1104,P376,C197,4
O1105,P418,C430,2
O1106,P452,C1926,4
O1107,P489,C1751,3
O1108,P158,C1641,3
O1109,P63,C709,2
O1110,P98,C1199,1
O1111,P83,C69,3
O1112,P237,C300,1
O1113,P244,C391,2
O1114,P435,C1087,1
O1115,P393,C1912,1
O1116,P343,C830,2
O1117,P214,C1179,2
O1118,P125,C808,1
O1119,P192,C1834,2
O1120,P11,C301,2
O1121,P366,C701,3
O1122,P154,C191,5
O1123,P166,C247,2
O1124,P301,C251,5
O1125,P242,C435,1
O1126,P381,C1279,4
O1127,P397,C921,4
O1128,P475,C360,3
O1129,P231,C1110,4
O1130,P436,C197,2
O1131,P90,C350,4
O1132,P197,C1235,2
O1133,P327,C1073,1
O1134,P302,C1140,2
O1135,P491,C781,4
O1136,P217,C1667,3
O1137,P99,C1852,3
O1138,P447,C1638,4
O1139,P94,C216,3
O1140,P261,C695,5
O1141,P285,C1476,3
O1142,P436,C1054,1
O1143,P282,C975,1
O1144,P37,C1816,1
O1145,P26,C417,3
O1146,P190,C1076,1
O1147,P117,C594,1
O1148,P437,C1045,5
O1149,P94,C378,4
O1150,P32,C2000,1
O1151,P226,C705,5
O1152,P204,C1932,4
O1153,P334,C1856,2
O1154,P280,C1323,4
O1155,P260,C4,1
O1156,P165,C216,4
O1157,P239,C211,2
O1158,P391,C1469,2
O1159,P253,C1621,3
O1160,P359,C1528,4
O1161,P232,C966,4
O1162,P139,C633,2
O1163,P47,C112,4
O1164,P440,C5,5
O1165,P157,C1927,1
O1166,P65,C1610,3
O1167,P25,C1837,3
O1168,P265,C1400,2
O1169,P76,C257,1
O1170,P426,C114,1
O1171,P55,C856,3
O1172,P44,C1771,4
O1173,P208,C1447,4
O1174,P122,C1559,4
O1175,P37,C1816,4
O1176,P304,C1346,3
O1177,P64,C1180,4
O1178,P81,C1502,2
O1179,P370,C783,5
O1180,P393,C645,3
O1181,P43,C623,3
O1182,P32,C989,5
O1183,P186,C301,1
O1184,P346,C939,2
O1185,P266,C857,3
O1186,P113,C1982,2
O1187,P248,C658,3
O1188,P346,C1475,5
O1189,P17,C428,4
O1190,P458,C1514,4
O1191,P100,C592,2
O1192,P337,C75,1
O1193,P76,C984,3
O1194,P242,C513,4
O1195,P150,C1082,3
O1196,P443,C301,4
