hospital_id,department,patients_per_day,avg_wait_time_minutes,treatment_cost
9,Cardiology,262,77,2129
6,Pediatrics,69,82,1343
31,Pediatrics,30,57,3866
17,Pediatrics,67,85,495
43,Pediatrics,75,117,1580
36,Pediatrics,27,29,207
21,Pediatrics,33,57,3663
27,Pediatrics,234,98,3006
41,Pediatrics,264,113,4831
28,Pediatrics,73,33,3538
16,Pediatrics,292,97,3296
35,Cardiology,150,86,1285
36,Emergency,28,99,4231
35,Emergency,231,87,3175
45,Emergency,141,85,512
19,Pediatrics,133,10,3258
21,Emergency,39,80,582
33,Pediatrics,40,42,3059
23,Cardiology,227,7,3947
6,Emergency,52,115,702
32,Cardiology,152,39,1181
22,Cardiology,210,59,4367
3,Pediatrics,45,51,4455
35,Emergency,108,37,124
16,Cardiology,111,97,297
42,Emergency,52,7,2726
25,Cardiology,257,73,522
17,Cardiology,37,63,1241
39,Pediatrics,293,82,2153
13,Emergency,46,104,1220
28,Pediatrics,127,96,4267
11,Pediatrics,245,109,4627
10,Pediatrics,38,100,4575
39,Pediatrics,242,22,1893
24,Pediatrics,123,110,155
38,Cardiology,56,108,2363
24,Emergency,263,81,120
33,Emergency,62,70,3798
17,Pediatrics,145,29,390
44,Emergency,28,24,2094
36,Cardiology,33,75,934
35,Pediatrics,150,79,4383
6,Cardiology,203,73,4409
16,Cardiology,72,33,2014
45,Pediatrics,60,22,2701
28,Cardiology,40,76,1601
41,Pediatrics,227,31,3421
32,Cardiology,170,46,4788
26,Emergency,88,70,4236
11,Emergency,46,103,119
25,Emergency,135,30,1132
31,Pediatrics,161,27,924
21,Cardiology,60,9,3374
45,Cardiology,125,84,3761
3,Emergency,93,110,3893
12,Emergency,79,15,847
40,Pediatrics,141,23,4181
46,Pediatrics,222,84,2466
41,Cardiology,30,100,1067
25,Pediatrics,166,16,3647
17,Pediatrics,235,6,4447
38,Pediatrics,33,47,4535
36,Emergency,86,26,2898
36,Emergency,199,30,3115
19,Cardiology,261,37,1904
44,Pediatrics,179,28,2778
2,Emergency,29,73,2123
17,Pediatrics,143,25,500
30,Cardiology,292,50,2518
47,Pediatrics,260,22,4532
10,Cardiology,162,107,2023
35,Cardiology,186,9,1468
36,Emergency,76,12,2420
33,Pediatrics,157,89,3424
1,Emergency,36,115,1977
18,Pediatrics,292,61,2787
4,Pediatrics,22,9,1497
47,Cardiology,262,17,3775
27,Cardiology,127,87,2019
25,Pediatrics,70,97,105
28,Emergency,193,70,685
22,Cardiology,135,41,1621
42,Cardiology,202,94,3978
25,Pediatrics,173,33,3569
17,Pediatrics,266,73,921
44,Cardiology,95,36,4433
12,Emergency,263,106,3193
16,Cardiology,100,52,3212
37,Pediatrics,248,6,957
16,Cardiology,91,73,2405
17,Pediatrics,237,115,2650
31,Cardiology,262,101,2286
15,Pediatrics,97,55,1325
13,Pediatrics,177,39,2656
40,Emergency,67,87,753
27,Pediatrics,43,19,1439
21,Cardiology,129,103,4656
2,Pediatrics,71,76,2817
8,Cardiology,278,115,3492
42,Emergency,158,69,1162
7,Cardiology,294,42,4628
10,Emergency,63,90,2632
4,Emergency,278,21,1708
43,Pediatrics,132,84,1181
41,Emergency,246,49,2748
36,Cardiology,84,5,4850
35,Emergency,182,7,2754
43,Emergency,183,74,255
3,Pediatrics,185,56,4396
18,Cardiology,58,57,3169
46,Emergency,172,7,2063
43,Pediatrics,288,115,4694
24,Pediatrics,94,98,1334
32,Cardiology,276,51,1576
34,Pediatrics,219,79,3855
2,Emergency,117,95,930
2,Pediatrics,123,90,3828
10,Cardiology,183,10,1442
23,Cardiology,132,106,2264
15,Pediatrics,122,109,2844
12,Emergency,56,50,4398
43,Pediatrics,125,99,1944
17,Cardiology,206,65,561
18,Pediatrics,40,47,3091
14,Pediatrics,167,60,1678
17,Emergency,148,74,300
15,Pediatrics,206,118,615
12,Emergency,218,24,4939
16,Pediatrics,254,51,2496
32,Pediatrics,127,58,3331
23,Emergency,28,45,3796
38,Emergency,245,79,1375
34,Cardiology,228,70,3393
34,Emergency,264,35,1729
16,Pediatrics,85,106,4118
34,Cardiology,172,68,4589
40,Emergency,210,94,2116
7,Emergency,237,95,266
33,Cardiology,173,62,1075
4,Pediatrics,296,59,4647
43,Pediatrics,101,50,959
7,Cardiology,240,114,4044
18,Pediatrics,299,99,309
4,Emergency,130,28,4963
49,Pediatrics,111,81,1708
11,Emergency,31,93,313
43,Pediatrics,158,41,3531
20,Emergency,174,45,1072
11,Cardiology,42,29,3899
15,Emergency,239,33,403
46,Pediatrics,256,35,1935
17,Emergency,272,111,960
34,Pediatrics,202,107,4147
48,Pediatrics,217,6,1955
12,Emergency,189,16,3561
42,Pediatrics,142,9,2267
28,Cardiology,53,65,1733
48,Pediatrics,22,95,2574
35,Cardiology,25,60,2477
8,Cardiology,121,102,1850
27,Pediatrics,211,82,2782
22,Cardiology,32,75,3511
24,Cardiology,55,41,4759
2,Emergency,89,40,4375
31,Cardiology,124,78,4485
22,Cardiology,223,33,4382
1,Cardiology,74,84,585
14,Cardiology,126,42,1460
25,Cardiology,160,89,872
36,Pediatrics,244,106,3877
36,Cardiology,55,45,1932
41,Pediatrics,152,37,1399
3,Pediatrics,44,97,281
5,Pediatrics,56,116,1362
1,Emergency,38,85,4005
19,Emergency,54,17,245
33,Pediatrics,25,10,4042
42,Emergency,218,70,1939
30,Cardiology,53,12,4694
12,Pediatrics,75,68,902
10,Pediatrics,275,100,2098
34,Pediatrics,230,104,4050
16,Emergency,116,13,1418
40,Emergency,260,27,4726
46,Emergency,189,75,3898
29,Cardiology,246,99,2358
15,Emergency,146,25,3040
48,Pediatrics,299,5,4161
11,Emergency,40,50,2152
44,Emergency,265,66,3952
34,Emergency,109,6,315
36,Emergency,25,108,885
30,Pediatrics,285,79,1735
35,Emergency,116,105,2399
9,Pediatrics,169,86,3852
18,Emergency,99,48,3209
19,Cardiology,36,92,4423
39,Cardiology,157,87,384
4,Pediatrics,159,9,3681
6,Pediatrics,59,97,2110
33,Cardiology,187,43,2513
32,Cardiology,93,70,1743
16,Emergency,93,85,1227
11,Cardiology,69,49,3572
22,Pediatrics,29,79,1369
36,Pediatrics,122,105,3878
23,Cardiology,123,17,743
26,Pediatrics,299,97,2878
31,Emergency,161,36,125
29,Emergency,189,113,3422
5,Cardiology,32,108,2145
38,Pediatrics,176,47,4037
25,Cardiology,193,12,4907
34,Pediatrics,181,78,1125
12,Pediatrics,151,93,3930
22,Pediatrics,47,63,1168
9,Emergency,102,15,1038
20,Pediatrics,288,32,4198
29,Emergency,270,101,1572
44,Pediatrics,125,43,3747
29,Cardiology,280,30,2425
45,Emergency,33,76,275
27,Emergency,99,106,1243
17,Emergency,179,30,3610
5,Cardiology,197,36,4162
45,Emergency,174,50,1050
13,Cardiology,54,32,4536
42,Pediatrics,278,11,2844
15,Pediatrics,279,39,220
15,Cardiology,154,70,4770
18,Emergency,150,26,2020
2,Emergency,100,118,1784
23,Cardiology,78,26,1068
43,Pediatrics,93,7,3908
13,Cardiology,258,50,4880
43,Emergency,148,54,3415
4,Emergency,157,113,4838
47,Emergency,122,12,1204
25,Emergency,28,8,4489
11,Pediatrics,251,19,2605
48,Pediatrics,118,48,4942
42,Pediatrics,237,114,3984
12,Emergency,256,43,832
13,Emergency,241,80,1681
9,Emergency,187,33,3779
45,Cardiology,81,77,3952
38,Emergency,29,110,2527
6,Pediatrics,253,108,423
43,Pediatrics,106,66,3799
43,Pediatrics,286,88,3092
10,Cardiology,223,38,461
23,Pediatrics,260,30,2200
15,Cardiology,75,116,4597
45,Cardiology,129,89,4876
23,Cardiology,68,91,1992
40,Emergency,262,22,2854
37,Emergency,35,67,1572
34,Pediatrics,92,56,1206
16,Pediatrics,221,58,2526
45,Cardiology,112,92,1903
41,Emergency,156,46,2127
47,Pediatrics,52,97,180
32,Pediatrics,107,106,3068
38,Emergency,222,106,2641
40,Cardiology,58,58,3839
46,Pediatrics,133,56,3088
5,Pediatrics,266,17,4936
17,Emergency,227,36,424
22,Emergency,230,87,2461
39,Cardiology,78,85,1334
41,Cardiology,175,70,202
48,Pediatrics,141,86,846
18,Cardiology,139,62,3791
28,Pediatrics,81,43,3585
13,Pediatrics,177,31,1347
42,Emergency,59,82,3164
1,Pediatrics,261,58,1819
19,Emergency,59,83,2302
34,Pediatrics,209,76,3405
4,Pediatrics,253,77,2636
43,Pediatrics,34,89,3585
3,Cardiology,143,47,1889
41,Cardiology,247,103,1864
10,Emergency,299,56,3457
28,Pediatrics,67,18,4782
34,Emergency,208,95,3097
39,Emergency,66,12,359
47,Pediatrics,203,39,2018
19,Cardiology,124,22,1886
42,Cardiology,266,59,199
46,Emergency,283,82,4005
36,Cardiology,225,56,2442
43,Pediatrics,37,76,3333
3,Pediatrics,270,53,3349
23,Cardiology,257,12,427
17,Cardiology,85,41,1451
7,Emergency,169,112,2911
26,Cardiology,212,70,2389
43,Emergency,166,85,1465
18,Pediatrics,202,81,3262
46,Pediatrics,125,82,3199
46,Pediatrics,255,45,4654
6,Cardiology,145,109,3802
31,Cardiology,198,77,1508
29,Cardiology,32,31,1610
9,Emergency,250,24,319
35,Emergency,47,42,2268
17,Emergency,280,16,3286
12,Pediatrics,119,46,3339
36,Emergency,207,90,4630
48,Cardiology,138,105,1369
24,Cardiology,65,54,4475
10,Pediatrics,87,107,3917
30,Cardiology,190,35,167
29,Cardiology,215,81,1771
39,Cardiology,39,69,842
10,Emergency,130,106,2112
39,Emergency,165,57,1805
28,Cardiology,211,44,1546
18,Cardiology,248,77,3169
41,Cardiology,31,43,390
17,Cardiology,236,14,3779
11,Emergency,98,33,4010
1,Pediatrics,55,44,4751
17,Cardiology,283,34,452
36,Emergency,47,6,1363
36,Cardiology,105,86,1926
46,Pediatrics,207,32,4478
9,Emergency,273,51,1705
45,Emergency,99,36,3936
28,Pediatrics,205,92,3498
48,Pediatrics,24,106,4651
33,Emergency,65,82,3106
3,Pediatrics,121,93,1104
8,Cardiology,21,93,2178
6,Pediatrics,236,36,2595
6,Pediatrics,44,31,2361
29,Emergency,276,58,3864
37,Pediatrics,242,100,1837
12,Emergency,88,60,3196
9,Cardiology,216,35,2544
41,Pediatrics,291,118,436
49,Pediatrics,201,28,3083
19,Emergency,37,39,1067
17,Emergency,126,34,771
48,Pediatrics,36,101,1403
44,Emergency,144,59,4964
32,Pediatrics,101,68,2770
35,Cardiology,23,37,2706
14,Pediatrics,134,50,1814
49,Cardiology,156,95,2695
16,Cardiology,247,101,3070
21,Emergency,35,37,3369
12,Emergency,231,72,2701
24,Emergency,265,68,578
34,Emergency,196,34,943
8,Pediatrics,50,112,1725
44,Cardiology,69,83,1980
21,Pediatrics,162,33,3751
48,Cardiology,71,66,2217
8,Cardiology,252,96,604
28,Cardiology,185,100,209
16,Pediatrics,57,104,1505
10,Emergency,39,34,4592
15,Pediatrics,118,110,3580
4,Cardiology,234,111,450
26,Pediatrics,63,106,1657
15,Cardiology,130,110,3142
36,Emergency,108,16,2936
32,Emergency,137,71,3728
43,Pediatrics,258,19,2141
38,Emergency,91,116,210
4,Cardiology,182,14,4404
41,Cardiology,270,90,1865
9,Emergency,214,65,1301
35,Emergency,79,27,3078
28,Emergency,117,15,2572
37,Pediatrics,92,20,2475
47,Pediatrics,241,53,110
9,Cardiology,138,114,2401
2,Pediatrics,201,84,1689
3,Pediatrics,237,18,1601
44,Cardiology,275,10,228
48,Cardiology,107,46,3703
5,Emergency,294,21,4295
10,Emergency,45,99,389
28,Pediatrics,140,46,1776
15,Cardiology,49,14,1944
14,Pediatrics,221,50,3735
46,Pediatrics,55,88,2793
23,Cardiology,144,53,1927
13,Cardiology,242,13,4860
16,Cardiology,254,83,1470
30,Cardiology,143,43,4893
40,Pediatrics,190,6,3922
8,Pediatrics,200,72,282
17,Pediatrics,234,56,450
30,Cardiology,137,92,3686
17,Emergency,246,86,1501
35,Pediatrics,56,15,2855
1,Emergency,115,41,4873
49,Emergency,139,94,2949
24,Emergency,31,76,4535
48,Cardiology,141,26,3312
49,Cardiology,54,56,4306
25,Pediatrics,270,9,4067
2,Pediatrics,86,6,4027
25,Cardiology,57,9,3529
14,Cardiology,299,103,3588
39,Emergency,249,36,1995
33,Cardiology,187,112,3008
17,Cardiology,265,23,1511
31,Cardiology,98,107,3482
10,Cardiology,133,119,2043
6,Emergency,236,8,4099
39,Pediatrics,219,91,3218
25,Emergency,261,50,755
38,Cardiology,32,87,449
37,Cardiology,226,30,4098
30,Pediatrics,281,54,1243
34,Pediatrics,116,30,497
18,Pediatrics,90,75,745
24,Emergency,249,36,4608
49,Pediatrics,51,115,4232
27,Cardiology,269,101,2334
27,Cardiology,273,48,4615
39,Cardiology,278,30,2872
21,Emergency,201,65,1583
19,Pediatrics,185,92,2334
39,Pediatrics,23,55,2083
23,Pediatrics,164,63,2062
39,Pediatrics,184,91,909
48,Cardiology,124,42,3296
44,Emergency,55,30,4515
47,Pediatrics,188,49,613
15,Cardiology,27,35,433
43,Cardiology,105,74,2612
2,Emergency,116,49,4195
35,Pediatrics,49,35,4919
20,Emergency,120,115,107
28,Pediatrics,86,65,2103
15,Emergency,82,52,4359
16,Pediatrics,51,108,4976
33,Pediatrics,106,49,2228
47,Emergency,230,113,1398
12,Pediatrics,70,64,3046
39,Emergency,82,65,1944
39,Emergency,99,56,3711
43,Pediatrics,251,56,3165
20,Pediatrics,120,80,1202
29,Emergency,148,119,779
43,Cardiology,38,85,4633
49,Emergency,113,66,3469
3,Cardiology,100,30,4147
48,Cardiology,122,71,2923
5,Emergency,173,83,109
2,Emergency,288,53,4353
23,Emergency,137,106,2931
26,Cardiology,298,92,4047
26,Emergency,244,119,4316
7,Emergency,287,98,2286
10,Pediatrics,156,48,773
5,Pediatrics,245,40,2127
47,Pediatrics,248,57,1556
12,Emergency,127,48,143
32,Emergency,26,95,4293
42,Emergency,147,26,3709
31,Cardiology,286,6,1994
22,Cardiology,192,11,3881
17,Pediatrics,233,20,2386
20,Cardiology,266,92,4670
20,Cardiology,125,98,2671
43,Cardiology,102,48,1515
8,Pediatrics,222,116,108
47,Pediatrics,60,114,1962
34,Cardiology,224,69,1333
49,Emergency,68,95,3225
23,Pediatrics,162,77,4811
38,Cardiology,160,75,2557
28,Emergency,72,73,109
13,Emergency,126,65,3104
29,Pediatrics,52,34,4747
8,Emergency,219,46,367
11,Pediatrics,138,95,3961
47,Cardiology,248,78,2814
45,Pediatrics,137,29,4646
18,Emergency,195,86,2741
25,Pediatrics,204,75,3906
49,Pediatrics,234,61,1491
22,Cardiology,240,99,1182
45,Emergency,149,36,393
35,Pediatrics,291,54,4179
29,Cardiology,265,113,2935
21,Cardiology,142,79,4305
7,Cardiology,27,14,2254
12,Cardiology,86,26,2444
36,Cardiology,134,99,4023
24,Pediatrics,124,45,1954
32,Pediatrics,44,51,3968
27,Emergency,72,18,3890
32,Pediatrics,266,7,3132
32,Emergency,52,92,944
32,Emergency,55,82,1807
26,Emergency,258,57,2107
11,Pediatrics,236,20,1373
46,Cardiology,196,65,4534
18,Emergency,63,32,2204
39,Cardiology,177,39,3067
5,Emergency,288,108,4342
16,Pediatrics,190,6,4941
11,Emergency,240,65,1312
35,Pediatrics,249,60,2395
48,Cardiology,110,102,2297
11,Pediatrics,150,59,4909
42,Cardiology,245,22,3384
23,Pediatrics,244,75,2364
34,Emergency,162,53,1710
48,Emergency,85,106,1518
17,Pediatrics,47,46,1886
10,Cardiology,144,11,4499
18,Cardiology,231,8,3582
44,Cardiology,99,47,1977
8,Pediatrics,257,84,3007
26,Pediatrics,151,63,479
3,Pediatrics,138,53,3400
24,Pediatrics,65,64,793
3,Cardiology,103,10,3676
38,Cardiology,32,24,4245
2,Pediatrics,144,35,1547
35,Pediatrics,191,87,2490
17,Cardiology,253,26,1855
9,Cardiology,200,89,3184
36,Emergency,70,86,1979
22,Pediatrics,288,36,2909
31,Emergency,188,51,947
34,Cardiology,293,38,3071
24,Cardiology,226,119,4161
9,Pediatrics,167,31,1295
46,Emergency,56,106,1612
43,Cardiology,180,48,4002
2,Emergency,294,34,3420
21,Emergency,125,37,2557
34,Emergency,41,31,3562
27,Emergency,252,60,3550
37,Emergency,141,27,326
7,Pediatrics,148,47,1907
22,Pediatrics,236,87,4408
4,Emergency,167,58,518
14,Pediatrics,77,99,1975
34,Cardiology,256,72,3255
23,Emergency,89,57,1018
44,Pediatrics,208,87,4972
42,Pediatrics,261,106,4154
25,Cardiology,82,44,3918
1,Cardiology,260,64,4371
48,Cardiology,204,90,2731
15,Cardiology,278,13,3774
32,Emergency,248,99,1445
14,Pediatrics,242,14,4730
41,Pediatrics,118,14,1929
21,Cardiology,266,34,1763
47,Pediatrics,64,14,4519
7,Pediatrics,292,62,184
36,Pediatrics,24,40,3912
21,Cardiology,30,86,986
40,Pediatrics,58,48,3439
12,Pediatrics,61,61,4307
15,Pediatrics,222,47,2775
15,Emergency,113,116,2897
17,Emergency,24,87,4247
34,Pediatrics,71,111,2231
44,Pediatrics,169,27,3794
35,Pediatrics,224,8,2859
39,Pediatrics,206,16,2878
38,Pediatrics,172,53,840
14,Pediatrics,135,28,2976
5,Emergency,168,17,4620
30,Cardiology,239,72,1811
4,Pediatrics,211,95,155
15,Pediatrics,252,106,3462
39,Pediatrics,240,107,2959
35,Cardiology,66,76,906
45,Pediatrics,146,94,3156
10,Pediatrics,234,38,4850
2,Cardiology,26,13,1106
44,Pediatrics,203,14,4203
24,Cardiology,135,119,1881
28,Cardiology,71,69,1089
22,Pediatrics,65,116,4033
44,Emergency,42,118,3264
32,Emergency,150,76,3469
31,Pediatrics,146,78,2178
19,Cardiology,284,58,477
21,Cardiology,215,47,2477
3,Cardiology,67,117,381
6,Pediatrics,101,63,4834
32,Emergency,128,93,3019
2,Cardiology,282,99,4264
24,Cardiology,50,107,3694
45,Pediatrics,75,63,1938
27,Emergency,208,71,4532
9,Emergency,24,65,2992
13,Pediatrics,297,107,314
14,Emergency,164,42,4830
11,Pediatrics,215,103,4618
14,Cardiology,46,12,2220
16,Pediatrics,146,69,3893
10,Cardiology,154,9,2970
20,Pediatrics,42,119,885
16,Cardiology,136,95,1037
34,Cardiology,27,113,1789
16,Pediatrics,120,94,3811
14,Cardiology,280,47,1356
28,Emergency,218,64,3212
18,Pediatrics,105,30,4634
26,Emergency,247,15,1437
38,Cardiology,198,38,369
7,Cardiology,259,109,1590
45,Cardiology,31,6,2221
34,Pediatrics,253,25,1780
47,Cardiology,202,119,4869
49,Emergency,209,30,3953
45,Emergency,234,80,509
7,Pediatrics,277,77,1541
33,Emergency,45,109,2358
35,Pediatrics,289,91,891
39,Pediatrics,101,110,459
21,Cardiology,204,9,4777
49,Emergency,81,13,522
28,Emergency,49,54,220
32,Emergency,50,14,2320
44,Cardiology,192,117,4229
16,Pediatrics,121,62,3065
10,Emergency,147,14,170
23,Emergency,105,82,4740
48,Emergency,47,40,3792
15,Emergency,141,78,4730
43,Cardiology,270,60,3829
6,Pediatrics,80,66,113
33,Emergency,190,118,4000
39,Emergency,291,41,3719
12,Pediatrics,132,45,370
36,Cardiology,213,106,3224
31,Cardiology,38,52,1683
10,Cardiology,112,26,4658
34,Cardiology,236,91,622
41,Emergency,198,84,2917
10,Pediatrics,210,65,2939
11,Pediatrics,182,79,542
14,Pediatrics,119,115,2183
3,Cardiology,206,119,3027
33,Cardiology,86,103,1321
7,Pediatrics,92,52,3549
4,Emergency,251,68,2540
39,Cardiology,208,88,2462
48,Emergency,69,41,4603
10,Pediatrics,143,45,994
15,Cardiology,176,9,4002
16,Emergency,280,104,2353
38,Cardiology,214,81,2110
4,Pediatrics,275,56,4290
4,Pediatrics,219,21,4735
36,Pediatrics,87,94,3315
27,Emergency,99,112,4704
22,Cardiology,252,66,2660
22,Cardiology,205,56,2946
17,Cardiology,124,24,1145
45,Pediatrics,161,107,4933
34,Emergency,291,101,3034
32,Pediatrics,143,98,570
6,Pediatrics,242,20,4479
33,Emergency,193,11,471
8,Pediatrics,210,98,3503
36,Pediatrics,159,70,1503
5,Cardiology,138,16,4702
5,Emergency,294,47,4046
47,Emergency,95,44,4175
10,Cardiology,128,5,4773
40,Emergency,138,62,2620
7,Cardiology,277,7,1107
12,Pediatrics,39,12,3446
30,Emergency,138,94,767
25,Emergency,156,108,1546
28,Pediatrics,296,79,4066
43,Pediatrics,274,65,2007
13,Emergency,283,89,2467
47,Emergency,186,9,2205
49,Emergency,184,108,4468
22,Cardiology,48,30,3129
18,Emergency,54,89,140
27,Emergency,256,77,4933
8,Pediatrics,109,21,4904
6,Pediatrics,222,105,225
11,Cardiology,247,119,877
29,Pediatrics,87,119,935
41,Emergency,150,70,978
5,Emergency,130,55,4589
7,Cardiology,31,51,936
22,Pediatrics,194,44,624
47,Pediatrics,173,96,1351
4,Pediatrics,62,31,4341
32,Cardiology,224,44,834
19,Pediatrics,191,5,268
45,Pediatrics,71,50,1248
33,Pediatrics,134,15,399
1,Emergency,38,43,3421
46,Cardiology,54,22,621
41,Emergency,67,95,717
44,Cardiology,252,51,3684
41,Pediatrics,238,78,1817
8,Emergency,129,104,4701
32,Pediatrics,273,25,401
30,Pediatrics,207,32,752
46,Cardiology,50,5,3401
28,Pediatrics,278,18,4259
41,Emergency,182,24,2737
32,Cardiology,90,77,2379
25,Cardiology,75,49,1722
34,Emergency,118,65,4514
33,Pediatrics,40,31,1781
13,Pediatrics,127,117,191
25,Pediatrics,72,60,3806
42,Pediatrics,25,56,1060
40,Pediatrics,250,72,4259
39,Cardiology,101,41,943
44,Cardiology,236,86,318
49,Emergency,66,35,803
44,Pediatrics,260,53,4814
48,Pediatrics,197,57,346
10,Pediatrics,101,43,4137
31,Emergency,211,14,156
44,Pediatrics,162,13,4059
11,Cardiology,298,96,4952
25,Pediatrics,60,96,1958
46,Emergency,290,17,2012
45,Cardiology,106,22,4321
34,Cardiology,22,16,366
20,Cardiology,230,76,3582
7,Pediatrics,20,91,1780
33,Emergency,94,118,3293
35,Emergency,250,9,1631
29,Pediatrics,95,11,2106
12,Emergency,279,19,4805
5,Cardiology,44,71,4664
12,Cardiology,219,22,4996
29,Emergency,113,42,4328
35,Emergency,127,30,3550
20,Pediatrics,114,42,1119
37,Pediatrics,110,63,417
1,Pediatrics,63,56,1700
16,Pediatrics,42,37,810
30,Pediatrics,209,25,3296
9,Pediatrics,42,21,550
42,Cardiology,253,111,1981
10,Emergency,205,66,1843
13,Pediatrics,82,63,1423
48,Cardiology,122,6,3660
20,Emergency,208,68,2780
29,Emergency,208,29,4337
4,Emergency,88,45,3151
46,Pediatrics,133,23,4764
49,Pediatrics,123,42,2451
28,Pediatrics,127,29,2804
37,Emergency,40,43,2740
13,Emergency,285,8,4225
3,Cardiology,228,7,3548
37,Cardiology,189,38,794
48,Cardiology,213,110,4353
19,Cardiology,142,14,2293
28,Emergency,196,117,439
19,Pediatrics,23,31,1868
17,Pediatrics,207,116,191
18,Pediatrics,48,94,4524
18,Pediatrics,105,95,271
23,Cardiology,66,5,2849
40,Emergency,96,48,3202
9,Pediatrics,210,88,720
29,Emergency,50,56,1088
42,Cardiology,188,29,176
29,Cardiology,55,78,2298
2,Pediatrics,264,69,4337
17,Pediatrics,207,84,330
45,Cardiology,34,15,2275
31,Cardiology,235,72,3007
28,Emergency,177,103,2644
43,Cardiology,174,81,3712
48,Emergency,260,89,2957
39,Cardiology,64,19,1653
30,Emergency,194,61,4464
35,Cardiology,75,78,2765
48,Cardiology,73,68,3840
20,Emergency,284,106,1061
16,Emergency,258,15,1727
34,Pediatrics,127,100,2067
14,Pediatrics,217,101,3431
26,Cardiology,233,24,1174
20,Cardiology,265,104,3304
42,Emergency,57,34,1128
24,Cardiology,192,14,747
43,Pediatrics,124,58,4933
18,Emergency,59,62,3262
43,Cardiology,149,83,1002
9,Emergency,200,33,4167
19,Pediatrics,213,5,1603
20,Pediatrics,78,62,2962
42,Pediatrics,45,25,4578
30,Cardiology,122,19,2997
26,Cardiology,40,71,1445
31,Cardiology,99,37,589
35,Cardiology,218,42,525
3,Cardiology,56,23,2831
40,Cardiology,33,8,4091
29,Pediatrics,240,80,1507
6,Pediatrics,185,93,522
1,Cardiology,192,102,3055
24,Pediatrics,169,85,1314
38,Emergency,191,62,4042
34,Cardiology,100,74,1900
7,Emergency,244,16,4560
11,Cardiology,54,83,2169
11,Cardiology,207,21,4743
36,Pediatrics,243,5,2477
20,Emergency,150,18,2203
16,Pediatrics,28,6,1371
5,Cardiology,88,8,4456
24,Emergency,47,70,3943
30,Cardiology,253,94,534
30,Pediatrics,50,50,3698
39,Cardiology,251,54,3649
48,Cardiology,73,64,3871
47,Pediatrics,194,108,634
37,Cardiology,298,56,480
33,Emergency,105,101,2250
20,Pediatrics,84,52,4224
22,Cardiology,108,43,4025
41,Pediatrics,73,74,3228
21,Cardiology,137,64,4149
37,Pediatrics,248,34,646
27,Pediatrics,286,90,3716
38,Emergency,41,31,4522
35,Pediatrics,266,87,1851
38,Emergency,39,78,4924
40,Pediatrics,203,59,3215
6,Pediatrics,69,74,318
32,Cardiology,109,30,225
16,Cardiology,123,46,4514
28,Cardiology,213,119,1428
16,Pediatrics,93,71,1323
27,Pediatrics,288,71,4280
3,Emergency,34,56,2870
49,Emergency,217,10,1674
21,Emergency,214,117,2042
