product_id,product_name,region,units_sold,revenue
170,Beer,South,398,44149
392,Beer,East,51,31213
277,Juice,West,927,19285
222,Beer,North,1105,33908
344,Beer,East,928,13420
499,Juice,South,1383,39593
108,Snacks,East,1883,15984
430,Soda,South,1743,16993
312,Snacks,South,1338,3957
415,Juice,East,324,28893
150,Beer,West,695,39575
401,Beer,East,403,45495
426,Snacks,South,491,43023
495,Juice,North,818,40650
163,Juice,West,1470,10842
470,Snacks,West,823,29575
331,Beer,North,660,44696
120,Juice,West,1230,43054
104,Snacks,South,243,40479
105,Beer,East,1580,38527
142,Beer,South,1147,48659
381,Beer,West,1360,13593
448,Soda,North,1657,46098
153,Juice,West,474,14480
483,Juice,South,433,47317
230,Beer,West,1880,33062
238,Soda,West,874,2960
314,Juice,South,686,47182
124,Juice,West,1741,42290
495,Soda,South,592,18666
164,Juice,North,62,8661
359,Juice,West,120,23876
482,Snacks,North,1124,9223
297,Juice,East,626,26770
208,Soda,West,606,13842
115,Soda,East,674,48602
302,Beer,North,614,45946
241,Snacks,North,490,19155
457,Beer,South,1355,18410
212,Snacks,East,1695,49407
173,Snacks,East,193,42442
152,Beer,South,829,48560
217,Juice,East,1831,36894
285,Snacks,North,321,11248
162,Beer,North,1555,43556
240,Beer,North,1511,22366
400,Beer,North,1420,1209
325,Beer,West,1125,10643
324,Beer,South,1802,45234
282,Juice,West,644,32985
260,Soda,West,1528,36354
161,Juice,East,1579,41805
496,Soda,South,637,22471
180,Snacks,West,415,27903
428,Snacks,West,713,12508
496,Beer,South,1187,7136
115,Juice,North,619,49506
328,Beer,South,1752,47842
196,Juice,South,502,34193
459,Snacks,South,818,19792
419,Juice,North,504,32145
425,Beer,South,545,34737
239,Beer,North,1419,48137
229,Snacks,West,649,46302
242,Soda,West,238,26076
436,Snacks,North,1633,21252
279,Beer,East,1647,6538
262,Snacks,South,1794,1548
450,Soda,West,1973,38120
222,Beer,West,1281,27961
137,Soda,North,533,32489
397,Juice,East,1142,46104
464,Juice,East,1142,43981
331,Snacks,East,1125,36808
436,Beer,North,668,8457
351,Juice,North,607,6340
106,Beer,South,194,47038
155,Beer,West,538,19447
488,Beer,West,646,35373
267,Soda,North,1103,2719
416,Snacks,West,1762,31492
318,Soda,South,1508,22440
164,Beer,North,1618,12038
293,Juice,West,1950,21833
192,Juice,East,1899,6188
440,Juice,North,411,36674
269,Snacks,West,910,27423
325,Soda,West,1819,47750
330,Soda,South,728,40332
380,Snacks,South,1815,32240
105,Soda,East,298,22061
363,Snacks,East,760,9983
152,Snacks,East,1110,16915
118,Juice,South,1016,2978
364,Snacks,West,64,2461
260,Juice,North,494,47567
363,Juice,North,1166,38988
393,Juice,South,827,23078
259,Soda,South,837,21788
122,Snacks,South,683,44505
261,Beer,South,286,44993
442,Juice,North,1722,5490
484,Juice,East,759,46358
106,Soda,North,1861,7240
462,Soda,South,1649,30648
467,Juice,East,1926,36379
123,Beer,North,681,30761
229,Soda,South,1720,3525
354,Soda,South,1687,38552
355,Snacks,West,1137,30111
349,Soda,West,353,49424
438,Soda,South,275,23365
205,Snacks,North,352,10600
455,Juice,West,241,11263
411,Snacks,North,1396,18312
447,Snacks,North,1758,26129
131,Juice,West,1346,21276
176,Juice,South,484,40258
425,Snacks,West,1500,41174
192,Beer,North,755,2447
109,Soda,East,1947,17489
478,Soda,West,1199,7075
429,Soda,East,253,42796
133,Juice,South,1982,36204
439,Soda,West,1815,36046
210,Juice,East,1557,22531
388,Juice,South,893,12671
443,Beer,North,588,13279
196,Soda,South,1163,40343
412,Juice,South,1632,35202
249,Soda,North,676,19590
303,Juice,South,89,1229
321,Snacks,West,1654,10686
131,Juice,South,209,42449
224,Juice,East,1173,13711
207,Juice,South,1581,14691
310,Snacks,East,1374,49662
101,Beer,South,919,7070
282,Soda,West,1317,40264
158,Snacks,North,385,40307
388,Soda,North,1915,27424
195,Snacks,East,1579,4634
349,Juice,South,1453,15826
204,Snacks,South,598,9282
310,Soda,West,192,21964
369,Soda,South,1404,3723
158,Soda,East,549,46574
370,Beer,East,314,34208
128,Snacks,West,1155,20247
302,Juice,East,786,30047
211,Snacks,East,1896,23543
464,Beer,West,1210,21684
222,Soda,East,881,21886
300,Soda,East,1114,46152
402,Beer,North,1856,39052
284,Snacks,West,85,45293
157,Juice,North,981,15397
448,Soda,South,626,37221
354,Beer,West,1997,3111
328,Beer,South,82,31481
440,Juice,East,1650,48929
152,Beer,North,1511,24777
441,Beer,East,1196,35074
419,Beer,North,951,2153
343,Soda,North,1456,34736
437,Soda,North,1404,49940
357,Snacks,North,1249,1904
159,Juice,East,908,37650
328,Beer,East,502,48598
439,Beer,East,123,3093
403,Soda,North,1229,45587
217,Soda,South,1601,12344
487,Soda,East,924,37301
125,Juice,East,1099,24430
439,Soda,West,739,30591
249,Beer,South,1127,49498
270,Beer,East,1933,32225
352,Beer,East,255,43399
119,Snacks,West,1726,26369
448,Juice,North,1266,30014
403,Beer,South,1876,38866
476,Beer,South,1792,38612
450,Beer,West,1102,14413
160,Soda,South,1744,36778
250,Beer,East,317,34326
335,Soda,South,1142,10766
416,Soda,West,1823,21624
329,Juice,North,81,11838
435,Juice,West,1339,17830
290,Beer,South,182,9434
374,Juice,West,332,31823
302,Soda,West,216,49027
303,Soda,South,1862,34663
327,Beer,North,65,42827
368,Beer,East,1870,35511
485,Beer,West,1323,43717
278,Soda,North,1536,34922
430,Soda,North,663,12700
356,Beer,West,686,35843
268,Beer,South,1656,35944
493,Soda,South,259,14109
102,Juice,West,1572,19335
107,Soda,South,644,29361
435,Juice,South,258,22375
206,Beer,North,575,49758
139,Soda,East,346,46223
474,Beer,East,1953,7087
287,Beer,South,635,18204
363,Beer,South,522,1908
429,Snacks,West,1754,31747
342,Snacks,South,221,22313
264,Soda,West,890,41427
382,Snacks,East,1345,15888
194,Soda,North,1199,23739
230,Juice,West,1953,1717
361,Soda,North,585,39137
308,Snacks,East,326,7307
109,Snacks,North,1772,25138
128,Juice,East,554,28971
247,Juice,North,1960,27617
434,Soda,North,531,35585
165,Soda,South,984,37288
111,Beer,East,1957,49265
112,Beer,West,1912,42655
463,Soda,East,1720,18590
201,Juice,South,1485,18036
272,Soda,West,1508,21865
312,Beer,South,1236,9331
268,Juice,East,1003,40062
307,Beer,East,315,10887
446,Soda,South,1751,42220
161,Soda,West,1873,24130
486,Snacks,East,367,34511
108,Soda,South,1171,48008
224,Snacks,East,813,23868
261,Snacks,South,649,19335
118,Snacks,East,1193,45149
445,Snacks,East,1957,8626
186,Beer,North,611,10306
117,Soda,West,1114,48351
336,Soda,East,1120,7773
273,Soda,West,538,9812
203,Snacks,South,1843,39889
336,Beer,North,731,20803
225,Beer,South,1589,46428
148,Snacks,West,1586,3108
201,Snacks,South,967,18329
173,Soda,South,316,4299
270,Beer,South,1185,45132
237,Juice,West,60,16270
184,Juice,East,1950,10040
265,Juice,South,63,45477
137,Juice,West,1676,26568
490,Snacks,North,530,12190
348,Soda,North,781,24406
367,Juice,West,392,29497
407,Soda,South,810,18940
204,Soda,East,1146,19936
447,Beer,North,1900,30286
123,Juice,East,1731,19217
386,Soda,West,1134,13954
181,Beer,North,1052,43923
354,Snacks,South,329,29895
122,Soda,North,1100,48559
426,Soda,South,340,9642
171,Beer,East,1062,18709
217,Soda,North,1013,45539
498,Snacks,West,71,46640
137,Snacks,North,572,35655
255,Beer,South,1709,7462
446,Juice,East,685,49837
226,Soda,West,504,15951
376,Soda,South,922,34522
126,Juice,South,1259,36876
155,Snacks,West,534,38526
224,Soda,West,659,1381
461,Beer,East,125,24846
497,Beer,South,181,45407
120,Beer,South,1566,29833
113,Soda,East,243,25428
340,Juice,North,1440,10778
206,Soda,West,1394,34364
169,Juice,East,1219,7529
303,Juice,West,1900,4617
127,Soda,East,1864,41490
468,Snacks,East,403,20245
320,Juice,South,1845,19767
201,Soda,West,1572,12206
166,Snacks,East,805,18344
223,Snacks,South,1819,30556
388,Soda,East,414,10710
341,Soda,West,772,11465
111,Snacks,East,1369,4649
495,Soda,South,1947,4153
302,Snacks,South,217,16980
319,Snacks,North,228,9576
278,Snacks,West,1306,41989
325,Beer,North,442,36987
313,Soda,South,1736,45178
458,Beer,North,702,16762
367,Soda,West,306,6961
118,Juice,South,381,14181
450,Beer,North,187,40486
414,Soda,North,1484,49618
472,Soda,South,1476,6930
368,Snacks,East,1945,38013
374,Juice,South,1297,36935
263,Juice,North,1095,29414
313,Soda,West,1674,38678
321,Juice,North,1852,33680
487,Juice,South,1660,10961
368,Beer,North,1675,26964
183,Juice,South,321,9563
330,Juice,North,1969,30948
489,Snacks,North,718,24021
143,Snacks,East,1231,44292
175,Beer,South,1468,18389
464,Soda,East,874,595
436,Snacks,East,1138,17108
491,Beer,North,1079,43032
260,Juice,South,1662,12109
335,Beer,West,140,13778
476,Snacks,North,1564,24335
407,Juice,South,340,48881
458,Beer,East,1713,34969
216,Snacks,North,1190,20703
189,Beer,West,1298,8829
438,Soda,North,364,11617
368,Juice,East,433,15575
475,Beer,East,575,5190
353,Beer,South,988,21519
237,Juice,West,1759,20664
194,Snacks,North,936,32331
254,Beer,East,711,32616
294,Snacks,South,237,19565
424,Soda,West,539,30586
104,Juice,West,134,45895
170,Snacks,South,1459,10229
203,Snacks,East,169,16606
155,Snacks,West,374,12029
406,Soda,North,1216,23109
411,Juice,East,1379,42325
269,Snacks,East,801,21693
240,Snacks,South,1797,35673
133,Soda,West,523,44307
455,Juice,South,1769,33448
152,Beer,West,752,38902
102,Juice,South,980,30186
429,Beer,East,1067,15395
349,Soda,South,905,26235
206,Beer,East,75,5884
198,Soda,East,1946,702
392,Beer,South,686,22485
279,Soda,West,1315,43339
233,Juice,East,1415,43640
248,Juice,South,1868,1620
400,Beer,East,324,49645
232,Juice,East,1622,4458
358,Beer,South,1877,33361
375,Soda,East,1294,26115
303,Snacks,East,985,22463
160,Soda,South,880,710
259,Snacks,North,856,41558
246,Juice,South,1832,29191
242,Juice,West,1201,25096
429,Beer,North,668,40616
412,Beer,East,957,40105
253,Snacks,West,989,40835
425,Soda,North,897,36611
210,Snacks,South,481,13834
189,Snacks,East,1808,607
485,Soda,North,1920,21815
148,Beer,South,722,6296
230,Juice,North,512,18955
310,Juice,South,1873,33072
327,Beer,West,1991,19707
352,Snacks,West,305,43102
193,Beer,East,1315,30736
264,Snacks,South,1193,2662
208,Juice,North,1079,23421
159,Snacks,East,1999,34219
197,Juice,East,922,47461
286,Juice,South,1707,3167
335,Snacks,West,706,43068
180,Juice,East,553,28809
141,Beer,North,1565,29949
250,Snacks,East,819,19527
172,Soda,South,641,30599
126,Juice,West,1896,49446
180,Snacks,South,160,14414
332,Snacks,East,812,46568
273,Snacks,North,1341,20057
372,Soda,East,926,29437
212,Soda,East,1469,32539
485,Juice,West,1636,4841
349,Beer,South,97,1310
350,Soda,West,1752,1510
114,Soda,East,770,30347
473,Snacks,North,1563,14185
268,Snacks,North,1178,40781
172,Beer,West,119,13458
369,Juice,North,1704,16354
363,Snacks,North,410,8689
431,Juice,North,907,18734
490,Beer,East,50,1641
166,Beer,North,1985,42166
358,Soda,West,863,4530
231,Juice,North,1648,8041
223,Snacks,East,1049,47732
323,Snacks,East,1132,32446
273,Juice,North,864,37344
369,Snacks,West,833,28984
486,Snacks,North,1119,21178
240,Snacks,South,129,17650
235,Snacks,West,472,1600
329,Beer,West,526,42930
485,Beer,West,1635,3997
201,Snacks,West,1378,10386
471,Juice,West,1483,14592
401,Snacks,North,1490,18356
386,Juice,North,412,24164
190,Juice,West,1349,14362
308,Soda,West,1302,26964
134,Soda,South,1448,31218
161,Soda,East,382,37661
251,Juice,East,633,13167
164,Juice,West,529,33434
320,Juice,West,1539,11101
445,Juice,East,1054,20409
399,Juice,North,730,22620
454,Beer,South,1455,3306
150,Snacks,South,316,5052
207,Soda,West,1640,17742
443,Juice,North,1303,42384
273,Beer,North,1052,26764
388,Soda,North,608,42174
291,Snacks,North,944,36092
456,Beer,West,127,16534
266,Juice,East,921,29966
343,Beer,West,867,46496
354,Beer,South,914,20192
157,Snacks,South,1958,23014
470,Beer,West,410,10142
125,Soda,South,1864,25136
216,Beer,East,110,39096
341,Soda,East,56,36227
329,Juice,West,1344,4687
430,Juice,South,896,25973
352,Soda,East,570,45789
192,Juice,East,262,34237
320,Snacks,South,1238,3078
294,Snacks,North,280,38381
300,Snacks,South,876,9711
326,Snacks,West,717,31151
156,Soda,North,413,2153
169,Snacks,West,1975,32611
347,Soda,East,1979,1760
172,Beer,North,64,3862
354,Soda,West,1191,5980
363,Juice,West,137,32381
190,Snacks,West,1589,27747
225,Soda,North,800,27365
389,Soda,West,1187,21271
339,Soda,North,276,33131
424,Beer,North,1899,25835
109,Soda,West,1728,36393
311,Snacks,East,1317,7171
121,Juice,South,470,37413
495,Beer,South,51,11538
256,Juice,North,480,23216
258,Beer,West,1433,48541
361,Beer,South,685,12276
209,Snacks,South,973,43466
362,Juice,West,1910,20132
452,Juice,South,1544,15054
465,Beer,West,1786,27782
112,Snacks,South,1656,23747
162,Snacks,East,629,38643
123,Beer,West,196,11564
449,Juice,South,1337,15483
452,Beer,North,848,2737
439,Beer,West,1855,6467
118,Beer,South,1102,34751
438,Snacks,East,1210,22012
329,Beer,South,1686,40291
187,Beer,North,887,14491
168,Soda,West,795,30680
249,Snacks,East,1517,14000
415,Snacks,South,1421,40458
377,Soda,North,1886,796
191,Beer,North,1403,47931
244,Snacks,North,1127,16522
450,Soda,South,1886,21959
274,Beer,East,820,2275
490,Snacks,South,125,16894
244,Snacks,East,341,20097
290,Beer,West,1724,11258
234,Beer,East,1530,5742
128,Soda,North,1463,37807
336,Beer,North,1021,28683
299,Soda,North,1823,31962
359,Beer,South,678,9591
459,Snacks,West,90,22242
217,Soda,East,1913,23182
371,Soda,North,1790,11697
179,Juice,West,495,42490
441,Snacks,West,156,13225
174,Beer,South,442,40907
286,Soda,East,1413,26556
140,Juice,West,1177,8116
345,Beer,East,1723,43221
415,Snacks,South,90,7259
157,Soda,East,972,30034
329,Juice,South,1766,9306
211,Juice,North,1077,14666
303,Juice,East,59,23990
139,Soda,South,610,46215
157,Snacks,West,964,26285
288,Beer,North,1147,5283
272,Beer,West,97,20877
176,Juice,North,1197,10643
147,Beer,North,1224,41755
189,Snacks,East,1685,39928
110,Juice,West,538,1021
155,Snacks,West,1466,49111
378,Snacks,North,499,36883
132,Soda,North,836,14768
279,Soda,North,761,2120
215,Beer,South,779,29085
127,Juice,East,687,22885
214,Soda,North,1764,1004
487,Beer,East,277,40717
319,Juice,North,316,8586
325,Snacks,South,1332,20348
342,Snacks,North,1837,49080
278,Soda,East,494,6698
493,Snacks,North,527,38011
407,Beer,East,1795,24031
299,Juice,West,1218,24107
364,Juice,East,1956,26026
373,Soda,South,634,10465
293,Beer,North,79,26942
181,Beer,West,1665,8747
267,Juice,East,1081,12951
165,Soda,West,1242,24965
121,Soda,South,971,20754
435,Snacks,West,54,3036
200,Beer,West,374,43515
451,Snacks,East,799,23639
429,Snacks,South,201,25062
460,Juice,North,1407,33414
275,Beer,North,430,30601
371,Beer,North,1654,43646
148,Juice,North,1493,4790
453,Soda,North,1034,17341
200,Snacks,West,962,29600
162,Snacks,North,1841,8886
411,Snacks,West,1527,30830
453,Snacks,East,1400,41754
463,Beer,East,1503,33004
432,Juice,South,640,28568
136,Soda,North,631,35365
495,Juice,West,1361,7937
306,Juice,North,1133,46375
321,Snacks,West,1201,47981
322,Snacks,East,1456,6223
448,Snacks,South,1243,32785
453,Juice,South,601,49809
131,Soda,South,1100,29292
463,Soda,North,1689,23694
250,Soda,West,54,35893
173,Beer,North,494,33368
171,Beer,South,1581,14144
376,Snacks,North,1712,10010
302,Soda,North,1006,22429
495,Beer,North,1381,15943
202,Juice,North,1148,23858
274,Juice,West,1816,34138
310,Snacks,West,1418,23082
352,Juice,South,1457,10885
453,Beer,South,302,34965
417,Soda,East,883,19299
393,Beer,West,1037,5792
453,Beer,North,696,2116
465,Snacks,West,983,7562
253,Soda,North,228,19986
395,Juice,North,1456,26492
243,Soda,East,1699,27926
118,Juice,East,306,38796
128,Snacks,East,1539,48282
464,Soda,East,1917,14737
288,Beer,North,806,21240
263,Soda,North,738,17551
440,Snacks,West,1529,41064
365,Soda,North,581,8186
274,Juice,West,404,6493
271,Soda,West,603,30441
215,Soda,East,1217,25963
463,Snacks,West,1827,22429
350,Soda,South,1618,46365
106,Soda,South,1674,36140
296,Beer,North,644,20697
374,Soda,South,1556,27571
465,Soda,East,833,36975
132,Snacks,East,1985,41676
251,Juice,West,737,37893
122,Soda,North,1674,35432
354,Beer,South,1041,10978
185,Snacks,North,1384,45133
455,Juice,West,797,19872
280,Snacks,East,1741,46855
465,Juice,West,762,41267
248,Soda,South,1795,48401
437,Juice,East,712,13551
201,Juice,South,847,27741
190,Soda,North,494,47978
136,Beer,East,145,49941
148,Beer,North,393,33430
138,Soda,East,764,21873
129,Snacks,South,293,31416
142,Snacks,South,1710,33068
305,Juice,West,587,48130
325,Snacks,West,1468,8130
131,Snacks,East,325,2063
225,Soda,East,1885,33279
194,Soda,East,1859,37558
101,Juice,West,723,1789
402,Snacks,South,1173,2298
198,Juice,North,1589,22686
122,Soda,North,1798,47940
489,Snacks,East,1163,46370
440,Juice,North,1727,22497
317,Juice,North,1931,3816
321,Beer,North,446,44559
396,Beer,West,651,32005
397,Snacks,West,90,2912
171,Snacks,North,1024,38310
266,Soda,South,652,28184
324,Soda,South,1514,38335
237,Soda,West,1544,30587
309,Beer,South,583,20721
211,Juice,East,699,42331
327,Soda,East,1123,23644
332,Beer,South,1685,3567
149,Soda,North,321,24294
430,Beer,South,1980,14790
335,Beer,North,1944,26041
491,Snacks,North,1556,2511
356,Juice,South,545,47647
299,Beer,East,1013,11941
296,Juice,North,1544,30342
100,Soda,North,372,25636
382,Snacks,West,1861,42550
464,Snacks,South,242,3985
288,Juice,West,557,24984
224,Snacks,North,1362,12622
275,Snacks,North,1211,1977
378,Soda,West,1053,44128
494,Soda,South,1524,8900
464,Snacks,West,1384,4386
238,Snacks,West,1630,26065
455,Juice,North,236,44738
201,Soda,East,919,7750
386,Snacks,East,336,45841
410,Snacks,East,1542,48475
417,Soda,South,521,8124
246,Soda,West,1708,2158
451,Soda,South,137,29589
395,Beer,East,485,9953
457,Beer,South,187,25421
372,Juice,South,1847,4961
454,Beer,South,1805,21336
111,Beer,East,1714,12848
242,Beer,South,1835,27507
266,Beer,South,928,24214
368,Snacks,East,1437,37941
193,Snacks,East,1915,14848
205,Snacks,South,1946,11311
374,Beer,West,975,20062
300,Beer,South,166,1788
412,Juice,North,896,14728
191,Juice,East,1535,47516
335,Juice,West,1008,11871
159,Beer,North,905,13620
334,Snacks,North,1136,36004
283,Beer,North,1147,27960
459,Beer,West,1547,49919
332,Soda,North,1970,39646
487,Beer,East,431,13704
226,Juice,West,1093,39216
200,Soda,East,1102,6858
234,Soda,West,1235,21435
332,Beer,East,755,19533
167,Beer,West,1779,17602
186,Juice,North,1715,18072
335,Juice,East,871,5660
207,Beer,East,1930,5832
236,Juice,East,1347,6080
476,Juice,South,1822,20090
364,Beer,North,1794,23060
486,Juice,East,335,16410
432,Soda,East,1337,12115
162,Soda,West,1755,36060
329,Juice,North,799,21992
474,Soda,North,1742,9371
337,Snacks,East,1124,5095
448,Juice,South,1924,26597
346,Soda,East,1193,5898
485,Snacks,South,918,36789
258,Snacks,North,1481,45267
137,Juice,North,1539,8993
343,Beer,South,699,18184
106,Snacks,North,1729,1974
459,Juice,West,682,46349
493,Beer,South,1635,43148
176,Snacks,West,1626,11977
356,Snacks,East,1819,21604
136,Snacks,East,615,42851
449,Juice,West,1885,20935
165,Juice,North,1389,11432
199,Beer,West,374,24080
431,Snacks,North,896,33624
360,Soda,West,72,31622
411,Beer,West,272,14427
141,Soda,North,1679,22098
148,Snacks,West,888,40577
401,Juice,South,837,40414
170,Soda,North,88,45680
345,Juice,East,1844,49538
101,Snacks,East,820,42546
422,Beer,West,976,30567
487,Soda,East,1336,31423
161,Juice,South,434,27443
467,Soda,East,1769,6782
435,Snacks,East,1484,42658
126,Beer,North,1059,16636
441,Snacks,West,754,2015
166,Juice,East,631,31828
468,Snacks,West,1541,22185
477,Beer,North,1752,35945
244,Snacks,East,157,49550
313,Juice,East,820,19669
426,Snacks,North,1260,17380
156,Soda,North,307,24180
385,Soda,East,813,22525
310,Soda,South,401,2176
292,Soda,West,1580,17552
499,Beer,West,325,34914
213,Juice,West,1557,22264
221,Soda,South,332,29118
459,Soda,West,1669,48680
202,Soda,North,836,3662
254,Soda,North,1768,39066
173,Juice,East,368,5031
453,Snacks,South,774,3278
274,Soda,South,1628,14558
113,Snacks,East,517,46170
485,Juice,South,1718,12321
266,Snacks,West,424,26188
154,Snacks,East,1989,23322
125,Beer,West,1789,19997
143,Snacks,West,1697,29859
168,Snacks,East,1262,11322
137,Snacks,North,1263,31692
435,Soda,East,1147,49726
111,Soda,South,1574,33036
204,Beer,West,1776,13766
343,Beer,West,199,34773
463,Snacks,South,1879,46095
372,Soda,East,1165,1475
380,Snacks,North,701,12789
291,Soda,South,664,20493
187,Beer,North,763,17723
238,Juice,West,289,42654
245,Juice,East,1134,16333
263,Snacks,East,660,22536
358,Beer,West,1889,44325
438,Soda,South,285,48388
425,Snacks,West,1305,23313
186,Snacks,South,278,7398
426,Soda,West,962,29982
466,Snacks,North,805,4720
463,Soda,East,780,31534
338,Beer,North,357,32814
364,Beer,South,1631,21023
293,Juice,South,1129,12306
227,Beer,West,1358,43231
221,Soda,North,1291,10904
343,Beer,East,1402,28505
146,Beer,South,1252,37154
419,Soda,West,176,44270
464,Soda,East,1308,16371
211,Beer,West,971,29882
402,Snacks,South,1298,11982
174,Beer,East,785,33933
480,Soda,West,1404,6827
397,Soda,South,78,42866
404,Snacks,West,236,37804
129,Snacks,West,1849,13364
107,Beer,West,1866,31598
440,Beer,East,1797,40085
107,Juice,East,198,49299
338,Soda,South,53,47049
290,Beer,West,1365,14886
227,Soda,East,732,45831
110,Soda,East,1806,45485
355,Soda,West,132,9551
332,Snacks,South,1227,4128
476,Soda,North,1877,43622
285,Beer,West,1034,49787
220,Juice,South,968,32610
266,Snacks,North,1047,47624
243,Juice,South,525,46085
426,Beer,North,1754,3842
487,Snacks,North,380,3453
451,Juice,South,398,25294
200,Snacks,East,1379,27442
121,Soda,South,517,23493
298,Beer,North,826,29292
368,Beer,West,1801,16945
181,Beer,North,736,2521
269,Soda,North,1186,1505
112,Soda,South,218,36775
481,Soda,North,1342,13686
296,Beer,West,1771,40564
194,Soda,East,1410,30441
366,Beer,West,1827,27133
418,Snacks,East,1259,1076
457,Snacks,West,780,11747
150,Soda,East,1431,40170
287,Soda,South,1395,16276
402,Soda,East,303,25424
103,Snacks,South,210,27542
362,Soda,West,1526,26278
442,Snacks,North,895,21033
130,Juice,South,76,17202
217,Soda,East,355,30241
308,Juice,South,620,5025
301,Beer,South,405,27500
185,Beer,South,1036,40613
129,Snacks,South,1663,44026
256,Snacks,North,1536,41031
308,Snacks,South,1228,39902
142,Juice,West,748,18633
184,Beer,South,745,30429
275,Snacks,South,1067,2559
330,Snacks,North,1964,15385
459,Soda,West,1575,44370
467,Juice,North,377,16864
249,Juice,North,518,24712
418,Beer,West,1747,28554
359,Beer,West,1378,31698
445,Snacks,South,1805,11679
477,Juice,West,777,20639
102,Beer,South,706,21969
436,Juice,North,427,23241
334,Snacks,South,1322,11488
438,Snacks,South,421,26120
181,Snacks,West,817,21852
351,Snacks,North,375,33103
472,Juice,West,516,944
498,Snacks,North,1074,5315
406,Juice,East,727,35526
253,Soda,North,587,31883
390,Snacks,North,1270,8798
481,Soda,North,1781,25746
435,Beer,North,330,7160
370,Snacks,South,1950,4036
488,Juice,West,677,19636
273,Beer,North,546,10392
